%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209731464525651,685930,0,0,0.10935640498826942,0.3990905803619359,0.4805399835473771
1690209731464562276,685930,1,0,0.2316312067061238,0.39043133256359996,0.4817605830486258
1690209731464573206,685930,2,0,0.2199622821255192,0.21848399846960603,0.47799086249396655
1690209731464587260,685930,3,0,0.09824492462209465,0.22721510471927012,0.4770250902777949
1690209731464595559,685930,4,0,0.15985468782187684,0.22904425176368454,0.47793669875632777
1690209731464645315,685930,5,0,0.16970370410141486,0.38755526640164634,0.4820053680851531
1690209731464678681,685930,6,0,0.17117666086324765,0.3359392945979067,0.11506956327495979
1690209731464800356,685930,7,0,0.16887986400689667,0.2995120330502517,0.1139943506841054
1690209731464914521,685930,8,0,0.17924064159405992,0.3175454006279261,0.07247708179345295
1690209731473375222,685931,0,0,0.10953670506955117,0.39920499158445183,0.48054215624813185
1690209731473395177,685931,1,0,0.23180184934111497,0.39040727065925546,0.48173972607577814
1690209731473402585,685931,2,0,0.21993726244630557,0.2184728408429458,0.47799223124381235
1690209731473424553,685931,3,0,0.09822969360312325,0.2273418176945441,0.47704937079774856
1690209731473438699,685931,4,0,0.15984166893822124,0.22910122353135018,0.47794865766529837
1690209731473444063,685931,5,0,0.16987117541237015,0.38760144038904165,0.481997016504115
1690209731473451265,685931,6,0,0.17121344627729024,0.335941378978098,0.11506691503720946
1690209731473482345,685931,7,0,0.1688751435933927,0.29951662050695604,0.11399637654953594
1690209731473487426,685931,8,0,0.17924819212819879,0.31753342720242395,0.07247498188204418
1690209731481221459,685932,0,0,0.10971079794970519,0.3993367107939971,0.480541764396239
1690209731481248026,685932,1,0,0.2319656864330234,0.39039475877837265,0.48171790503312406
1690209731481260855,685932,2,0,0.21989733860224994,0.21847391978465447,0.477997636724102
1690209731481272488,685932,3,0,0.09820015666304271,0.22748650611925136,0.4770760915272535
1690209731481293959,685932,4,0,0.15981433319086408,0.22917326947942268,0.4779636784957839
1690209731481330570,685932,5,0,0.1700317906231152,0.38766211622110897,0.48198710681606766
1690209731481346154,685932,6,0,0.17124482786915188,0.3359471849019567,0.11506428466150885
1690209731481409819,685932,7,0,0.16886330634568136,0.2995250585013787,0.11399948164230457
1690209731481435954,685932,8,0,0.17924990789523948,0.3175235667395055,0.0724735393412114
1690209731490727186,685933,0,0,0.10987077957726268,0.3994736886345264,0.4805346997572697
1690209731490749278,685933,1,0,0.23211533577140006,0.39038955315383805,0.4816951023524633
1690209731490785163,685933,2,0,0.21984626334946056,0.21848230210497194,0.47800359931346337
1690209731490800424,685933,3,0,0.09815953132637348,0.22763646241616187,0.47709770281201525
1690209731490808746,685933,4,0,0.15977575443317948,0.22925161007337883,0.47797638282154686
1690209731490825903,685933,5,0,0.17017833807403762,0.38772908132999123,0.4819734206050301
1690209731490833175,685933,6,0,0.17127962206557062,0.3359550531690315,0.11505858010368294
1690209731490916270,685933,7,0,0.168855537253102,0.2995355578694618,0.11399984655707104
1690209731490954185,685933,8,0,0.17925726024340283,0.3175154253701906,0.07246961421928848
1690209731498007059,685934,0,0,0.11000869882943683,0.3996207881176488,0.48052512041757944
1690209731498046311,685934,1,0,0.23224331890671507,0.39040236034482945,0.48167308151308363
1690209731498061107,685934,2,0,0.21978466332641453,0.21850801911752826,0.4780155343673584
1690209731498075995,685934,3,0,0.09810797366697241,0.2277959059841778,0.47712200148881484
1690209731498101737,685934,4,0,0.15972603829074147,0.22934341657325255,0.47799323822999124
1690209731498114515,685934,5,0,0.17030346390769183,0.38781009804159516,0.48195907799815857
1690209731498131656,685934,6,0,0.17130519694629803,0.33596549609920817,0.11505391752896359
