%time,field.frameNumber,field.x_m,field.y_m,field.z_m
1690209456647684789,652951,0.5617091526958855,0.3191763301976553,0.0
1690209456647766226,652951,0.5615380548794389,0.31912523178693997,0.0
1690209456647871983,652951,0.5616410176776123,0.31920484769397117,0.0
1690209456648017334,652951,0.5613295524336828,0.3190354773839231,0.0
1690209456648158177,652951,0.5614640462638849,0.3191277487418933,0.0
1690209456648228338,652951,0.5612716988228996,0.3190449735940033,0.0
1690209456648277916,652951,0.5611844123187997,0.31903522511080507,0.0
1690209456648295592,652951,0.5611686878851965,0.3190317284739542,0.0
1690209456648301690,652951,0.561171380605126,0.3190297005189825,0.0
1690209456654688570,652952,0.5614274304222129,0.3191373779697946,0.0
1690209456655332937,652952,0.5614308869255302,0.3190995498948851,0.0
1690209456656110099,652952,0.5615603691495308,0.3191665892585632,0.0
1690209456656356225,652952,0.5615605674507866,0.31912913510971064,0.0
1690209456656674628,652952,0.5616891600135853,0.3191411980096739,0.0
1690209456656688062,652952,0.5617145730861619,0.31909804888933435,0.0
1690209456656717057,652952,0.5617020045329808,0.31905111108560696,0.0
1690209456656722607,652952,0.5617070218564701,0.3190596184527135,0.0
1690209456656733848,652952,0.5614741298297008,0.3189419689940448,0.0
1690209456656743150,652952,0.5615958419964411,0.319009506299857,0.0
1690209456664289932,652953,0.5618203102199634,0.31911253043822313,0.0
1690209456664589211,652953,0.5617982227039691,0.31912341397810345,0.0
1690209456665461329,652953,0.5617971903411827,0.31919490598859146,0.0
1690209456665654707,652953,0.561876486750277,0.319250385929206,0.0
1690209456665930582,652953,0.562083407987697,0.3193722973382207,0.0
1690209456665938460,652953,0.5622539565956352,0.31942328963506095,0.0
1690209456665946389,652953,0.5623451483932571,0.31949117444376063,0.0
1690209456665957465,652953,0.562171374464274,0.3194292827484405,0.0
1690209456665972672,652953,0.5619898180637382,0.3193573535753127,0.0
1690209456665987634,652953,0.561996876908442,0.31937759003481647,0.0
1690209456671207217,652954,0.5619702710753643,0.319344403058586,0.0
1690209456672513186,652954,0.5617199600183242,0.3192742765749855,0.0
1690209456672910833,652954,0.5613824550277172,0.31916024191198333,0.0
1690209456673139714,652954,0.5610502596028294,0.31902596417912266,0.0
1690209456673163489,652954,0.5610496652617418,0.3190120165214234,0.0
1690209456673172257,652954,0.5610178375494952,0.3189907913916741,0.0
1690209456673184881,652954,0.5609484550768216,0.3189806972670788,0.0
1690209456673193534,652954,0.5608964313962888,0.3189665700712979,0.0
1690209456673211996,652954,0.5609250873064447,0.318969781334484,0.0
1690209456673223212,652954,0.5611787102191046,0.3190289117114,0.0
1690209456681257362,652955,0.5612899258846873,0.3190375837962217,0.0
1690209456681449716,652955,0.561410751374211,0.3190733404446513,0.0
1690209456681853791,652955,0.5613108883240416,0.31900090651786756,0.0
1690209456681869369,652955,0.561419008116875,0.3189815534683564,0.0
1690209456681884078,652955,0.5615149798030209,0.31897156323563547,0.0
1690209456681894177,652955,0.5615132267115195,0.318915810157803,0.0
1690209456681910941,652955,0.5615159425230016,0.3189143469336684,0.0
1690209456681930852,652955,0.5614142700935808,0.31886859676351315,0.0
1690209456681943802,652955,0.5616663042444794,0.3189797024633403,0.0
1690209456681955474,652955,0.5618248223429627,0.31906737961078924,0.0
1690209456687831315,652956,0.561954813603359,0.31915047257299023,0.0
1690209456688911199,652956,0.5619450684878848,0.3192094711508283,0.0
1690209456688928910,652956,0.5619497356787049,0.319245679418059,0.0
1690209456688938428,652956,0.562157922673847,0.3193660165241521,0.0
1690209456688949387,652956,0.5622657823218162,0.3194226240017668,0.0
1690209456688962885,652956,0.5622842110618094,0.31945872527213265,0.0
1690209456688970160,652956,0.5620529852065687,0.3193785686233033,0.0
1690209456688978920,652956,0.5619277706301581,0.3193514395552878,0.0
1690209456689022470,652956,0.5619068037630888,0.31932288291982897,0.0
1690209456689053308,652956,0.5618180974267768,0.31931329219217247,0.0
1690209456697295790,652957,0.561624317885209,0.3192349089355466,0.0
1690209456698518894,652957,0.5614695847231708,0.31920605010220415,0.0
1690209456698824603,652957,0.5611343740219674,0.31905287780125274,0.0
1690209456699233498,652957,0.5611613524466212,0.3190296131736839,0.0
1690209456699248389,652957,0.5611716184099016,0.31902228345847433,0.0
