field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
663552,0.431273328310423,0.29765913837671565,0.4796207339146563,,,663552,0.4195359435337739,0.31763793270214713,0.11475747110905865
663553,0.43144555412558216,0.29771479392125777,0.4796211851425089,,,663553,0.41956123874475526,0.3176481555243112,0.1147601936507209
663554,0.4316183122392989,0.2977686107311966,0.4796189008994004,,,663554,0.41958491285954386,0.3176506975719324,0.1147599981829333
663555,0.4317930353364021,0.29781982077135666,0.47961675956701966,,,663555,0.41960125941279647,0.31765879204395786,0.1147607677182998
663556,0.43196215943939853,0.2978715634835273,0.47961030560715767,,,663556,0.4196231382322681,0.317666885172584,0.11475689289992215
663557,0.43213015582608283,0.2979178243084021,0.47960490232385633,,,663557,0.4196464697100184,0.31766939421577123,0.11475403959171265
663558,0.4322973281886333,0.2979625954508478,0.4796030262957549,,,663558,0.4196572379460159,0.3176794312886972,0.11475566989524415
663559,0.43245995809587506,0.2980024031728321,0.4795970920766903,,,663559,0.41968319682575495,0.31769106311213,0.11475297466422515
663560,0.43262107353848256,0.2980400765235598,0.4795939951246359,,,663560,0.4197025476483389,0.3176924364085232,0.11475291272160221
663561,0.43277381204856286,0.29807485617277324,0.47958878195240306,,,663561,0.41972727316115643,0.3176993783541687,0.114750756355494
663562,0.4329228629998457,0.2981014358276255,0.4795887389443351,,,663562,0.41974826707905066,0.3177016208515333,0.11475400685514389
663563,0.4330629692889575,0.2981252032162441,0.47958610954355385,,,663563,0.419763491841291,0.3177012373496422,0.1147546117853878
663564,0.4331984905825613,0.29814215875699734,0.47958623871875683,,,663564,0.41977620309935865,0.3177106639534974,0.1147588346324787
663565,0.4333238038143281,0.29815674557224314,0.47957916918393373,,,663565,0.4197914569029712,0.3177097740138184,0.11475500107678485
663566,0.4334407613661876,0.29816819316781595,0.4795787580037506,,,663566,0.4198040096596619,0.31771226629792537,0.11475799766023739
663567,0.4335473328866576,0.2981749883480262,0.4795735202815097,,,663567,0.419822243782459,0.31771011678857713,0.11475559356308135
663568,0.43364239500181356,0.298176852300176,0.47956783268843206,,,663568,0.41982872343888766,0.3177095957677576,0.114753121664026
663569,0.433728583101773,0.29817558814674827,0.4795610064720389,,,663569,0.4198440660155731,0.3177083521208479,0.11474898599292316
663570,0.4338045868865442,0.2981705957824363,0.4795581823217401,,,663570,0.4198400846707677,0.31771068329491015,0.1147496070016005
663571,0.43387112492750757,0.29816031481396327,0.47955782741874287,,,663571,0.4198633320777767,0.31770846221098215,0.1147513435919569
663572,0.4339232006707588,0.29814666150892566,0.47955285758409943,,,663572,0.4198682072877493,0.3177034179760915,0.1147486506364175
663573,0.43396294545600844,0.2981282099833666,0.4795494474164794,,,663573,0.4198775631642458,0.31770122657068367,0.1147472845985939
663574,0.4339911155059213,0.2981094801256498,0.47954911061368605,,,663574,0.41987303230322776,0.3177108163369855,0.11474973244172204
663575,0.4340020895698221,0.29808788658826857,0.47954583493197067,,,663575,0.41987251193239616,0.3176994739896598,0.1147474527472012
663576,0.43399844449344005,0.2980649635051634,0.4795475081874212,,,663576,0.41987250008215327,0.31769942526730705,0.11475021574264474
663577,0.4339763521070444,0.2980458936165967,0.4795468102867353,,,663577,0.41986924354274935,0.31769451191612186,0.11474955117406829
663578,0.4339395904141543,0.2980222660181556,0.4795451753776836,,,663578,0.41986492265738096,0.3176952831239138,0.1147479781643106
663579,0.4338859733146472,0.2980027534026901,0.4795485907162803,,,663579,0.41986188349808506,0.31769963705685167,0.1147507334742578
663580,0.43381986035957576,0.2979808733508248,0.4795502240304409,,,663580,0.4198460790200643,0.31769146413270605,0.1147511765874078
663581,0.4337367758700679,0.2979661399876648,0.47955346670703847,,,663581,0.41983829373243997,0.31768508902328496,0.1147519943793623
663582,0.43364093115054003,0.29795379965255225,0.47955742427919046,,,663582,0.41982978887257094,0.31768354178643343,0.11475321844605055
663583,0.4335304168310617,0.2979409029842761,0.4795600848860915,,,663583,0.4198206764249458,0.3176791097870451,0.11475251207619536
663584,0.43340654231095865,0.2979314738453282,0.4795613003709009,,,663584,0.41979611159373775,0.31767978815902104,0.11475055597498955
663585,0.4332702579314841,0.2979271275803234,0.4795638020651092,,,663585,0.41978373089649557,0.31767503464962565,0.11474843407171395
663586,0.4331289819818641,0.2979287465268824,0.4795740421316989,,,663586,0.4197709887445036,0.3176774653852984,0.114753989106428
663587,0.43298022361652466,0.29793792433618865,0.4795767812552433,,,663587,0.41974756360601795,0.31766908768419777,0.11475121078187281
663588,0.43282072649439374,0.2979533934461584,0.4795815745826377,,,663588,0.4197233017468156,0.3176769130605541,0.1147507107453771
663589,0.43266017100447585,0.29797688898388835,0.47958827568160767,,,663589,0.4197125094625549,0.3176837942571522,0.11475116831122781
