field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
652951,0.5498158427811958,0.3119362836223545,0.48069965119282787,,,652951,0.5547438081364569,0.3180655327086468,0.11518594907984939
652952,0.5498517551701323,0.31191372724850885,0.4807000645792223,,,652952,0.5547493656585087,0.3180631597729997,0.11518629348383595
652953,0.5498836740239124,0.31189293938283125,0.4806979261399338,,,652953,0.5547562023366228,0.3180579813087868,0.11518408276990119
652954,0.5499103046719478,0.3118715514163556,0.4806948540549606,,,652954,0.554754861919202,0.3180544758306596,0.11518094094082934
652955,0.5499342216429276,0.31185336455933477,0.48069719752277784,,,652955,0.5547647178492285,0.3180554077563073,0.1151834222203641
652956,0.5499542899535644,0.3118345591981996,0.48069903470702624,,,652956,0.5547630099151901,0.31805292478947417,0.11518524958949675
652957,0.5499771488286693,0.31181246772556337,0.48069832590492007,,,652957,0.5547667750767991,0.3180516586864083,0.1151846449765628
652958,0.5499973763868898,0.3117921434843634,0.48069776247211116,,,652958,0.5547698736888238,0.3180471781411802,0.11518412828019126
652959,0.5500189778962525,0.3117703752695449,0.4806993572409154,,,652959,0.5547709146170545,0.31804214931132235,0.11518574201295975
652960,0.5500410423014991,0.31174393330454975,0.48070285399870116,,,652960,0.5547744270904613,0.3180422896923786,0.11518945514102441
652961,0.5500655966010379,0.31171518773594853,0.48070144260116704,,,652961,0.5547737207999919,0.3180385850275309,0.11518814984362635
652962,0.5500917924936921,0.3116845298861922,0.48069851196993735,,,652962,0.5547770294005085,0.31803328496758587,0.11518536469164434
652963,0.5501200382966112,0.3116465229292657,0.480698325798376,,,652963,0.5547854773569598,0.3180306157247915,0.1151855407869733
652964,0.5501505061749128,0.3116089069546507,0.4806976025983041,,,652964,0.5547868042800161,0.3180237379537457,0.1151849849605907
652965,0.5501845592059394,0.3115660706256146,0.48069657002106925,,,652965,0.5547927527579906,0.3180157317731648,0.11518420991199135
652966,0.550221928627139,0.3115207733025417,0.4806931432302489,,,652966,0.5547966664527599,0.31800909708947034,0.1151810471273944
652967,0.550266634919449,0.31147787151389905,0.4806915351716341,,,652967,0.5548005140896783,0.31801161670158457,0.11517973907917994
652968,0.5503179041486963,0.31143615515343837,0.4806946381815457,,,652968,0.5548049875092448,0.31800450517063955,0.11518288484082655
