field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
660367,0.4579372808195288,0.29951894464512563,0.4801168189286778,,,660367,0.4620096449920679,0.31761244070705463,0.1149892244914143
660368,0.4581121872400008,0.29940784048323826,0.4801137750858493,,,660368,0.46203474084630103,0.31760146261708233,0.1149895158861951
660369,0.4582889378514857,0.2992903961919187,0.480111384612123,,,660369,0.4620631122293394,0.31759005654001826,0.11499086066400349
660370,0.4584626033304447,0.2991712030492761,0.4801028511402926,,,660370,0.4620824159762502,0.3175717816725655,0.11498583615471686
660371,0.45863518182307805,0.2990525280306299,0.4800992318664523,,,660371,0.46210261331237423,0.3175567727691879,0.11498597708820926
660372,0.4588021741278824,0.29893392261434504,0.4800913393545553,,,660372,0.46213138419447897,0.31753837346879243,0.11498189036976586
660373,0.45897042634742147,0.29881676963023035,0.4800896270133951,,,660373,0.4621514070639482,0.3175214416123398,0.1149839771297452
660374,0.45913763774727756,0.2987019929047069,0.4800867961217324,,,660374,0.46216622538926744,0.3175100299126233,0.1149851604501797
660375,0.459300391767819,0.29859126639676886,0.4800877850570803,,,660375,0.46219474471074196,0.31749514818738694,0.11499001055889499
660376,0.4594629084161054,0.2984813478544838,0.4800835067222594,,,660376,0.46220765338249636,0.3174853589726543,0.1149897750508849
660377,0.4596243670210459,0.29837410043919976,0.4800770476428535,,,660377,0.4622299057200505,0.3174688548216506,0.1149870306711463
660378,0.4597791696795771,0.2982718434601216,0.48006994850255486,,,660378,0.4622474128227131,0.31745346106979544,0.1149835309369295
660379,0.4599313509850068,0.2981722122386292,0.4800664300687776,,,660379,0.46227239863580183,0.3174421394461818,0.11498382520988826
660380,0.4600823379586015,0.29807449668131614,0.4800607241555285,,,660380,0.462290657378248,0.31742871095867464,0.11498175093975091
660381,0.46023093097925216,0.2979779481939766,0.480054381145526,,,660381,0.46230399316929605,0.3174161929976652,0.11497907929486989
660382,0.46037864848102716,0.2978894437913069,0.4800505159452624,,,660382,0.462325174133265,0.3174071639340432,0.1149787577831791
660383,0.46052379638420626,0.297805553190578,0.4800504866784671,,,660383,0.4623496574095881,0.3174051929505102,0.11498249394007815
660384,0.46066018190306046,0.2977282127090713,0.48004234569640536,,,660384,0.46235791791785835,0.3173898408138278,0.11497706791456275
