field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
722032,0.4155843630547672,0.21352820084015417,0.47994300143640467,,,722032,0.41261976115478394,0.20335089901330472,0.11449840559137181
722033,0.41557247692317356,0.2135982022403702,0.47994373013023645,,,722033,0.4126194018918349,0.2033589429916633,0.11450077167141395
722034,0.415559803375247,0.2136699311014752,0.4799397518831823,,,722034,0.4126172010225537,0.20336708746213875,0.11449849603817375
722035,0.4155476230253172,0.21374285935583026,0.4799358733367808,,,722035,0.412618020902429,0.20337906262625427,0.114496236573075
722036,0.41553519969040775,0.21381834209701012,0.4799347965769559,,,722036,0.41261781308732004,0.20338429306986022,0.1144970611889054
722037,0.41552416663929226,0.21389393292933925,0.47993329493584447,,,722037,0.41261632289481553,0.20339436648812204,0.11449736003268834
722038,0.41551160439531476,0.2139713581728143,0.479931238477432,,,722038,0.41261192771627153,0.2034059426785049,0.1144971365659803
722039,0.4154998890786574,0.21405091299508025,0.47992942135594163,,,722039,0.412609376952374,0.20341838803739626,0.11449719327265989
722040,0.41549301351215673,0.21413055586009735,0.47992531915211045,,,722040,0.412600914528144,0.20343089690165844,0.11449506311016824
722041,0.4154850765804641,0.2142122232668185,0.4799224426720855,,,722041,0.4126099081261628,0.20344118771775116,0.11449414988566245
722042,0.4154766754747809,0.21429340806965017,0.47991900290791856,,,722042,0.4126041683042555,0.20345614774135923,0.1144926471802949
722043,0.4154726965184211,0.21437470411036091,0.4799157256683497,,,722043,0.4126052279140977,0.20346115855475716,0.1144916006896497
722044,0.41546819376497907,0.2144563926972577,0.47991315635237086,,,722044,0.41260807751315587,0.2034710439346038,0.11449112524747351
722045,0.4154653998468844,0.21454042385796354,0.47990914801043105,,,722045,0.41260738870830127,0.2034802455039818,0.11448935763729115
722046,0.41546395782019474,0.21462204161063037,0.47990482960197733,,,722046,0.4126025674039334,0.2034845643472054,0.11448741346759
722047,0.4154597062450577,0.21470554494991584,0.47990273509453174,,,722047,0.4126023731037562,0.20349937063024165,0.11448738747804704
722048,0.4154579169418655,0.21478735203036647,0.47989862663040805,,,722048,0.4126048740624681,0.20351137479583503,0.11448539280741934
722049,0.4154576430477389,0.21487110236459517,0.4799010485345948,,,722049,0.41261390833471057,0.20352447796778378,0.1144899290309334
722050,0.4154547363263801,0.21495172908303775,0.4798983323683636,,,722050,0.41261075340779535,0.20353164724609266,0.11448950316299836
722051,0.4154538387422553,0.21502889556240878,0.47989589361334806,,,722051,0.41262012321528374,0.2035462528652579,0.11448894520891315
722052,0.415451826452075,0.21510635910947373,0.47989263130057325,,,722052,0.41261334345308653,0.2035505223802872,0.11448802730523164
722053,0.41544683960342516,0.21518301236824433,0.4798921073211132,,,722053,0.41262049830718733,0.20356878536262119,0.1144892604586693
722054,0.41544233898966965,0.21525794635938234,0.4798867391082011,,,722054,0.4126103571333122,0.203572365403118,0.11448621085773525
722055,0.41544026674514856,0.2153318606316556,0.4798833749141229,,,722055,0.41260929326503354,0.20358027225072567,0.11448495574824896
722056,0.4154365273722138,0.2154038663436229,0.47988292419847445,,,722056,0.41260849112373765,0.2035903239106655,0.11448648005129675
722057,0.4154297562991691,0.21547830214023436,0.47988148256577723,,,722057,0.41260732078337686,0.203601531451911,0.11448704480705085
722058,0.4154253580950019,0.2155510804174649,0.47988021549896936,,,722058,0.412612885834982,0.2036107428083391,0.11448777262855875
722059,0.4154192427771155,0.2156232032899038,0.47987636055689176,,,722059,0.41261131228297493,0.2036189550861433,0.11448597682923795
722060,0.41541404625722866,0.2156935955154221,0.4798734615598616,,,722060,0.41260514895394884,0.20362425201832876,0.1144852296575075
722061,0.41540961252884895,0.2157643046172629,0.4798694857964514,,,722061,0.41261000199620024,0.20363669315081134,0.11448311195333186
722062,0.4154022633338533,0.21583538435517696,0.4798671428623067,,,722062,0.4126087782347255,0.20364331569489758,0.11448286724001955
722063,0.41539720700799077,0.2159044923573719,0.4798658164741778,,,722063,0.4126133312629884,0.20365642473263512,0.1144833403692941
722064,0.4153883137246301,0.21597158626629906,0.4798654423915705,,,722064,0.4126072634417356,0.20366325868762408,0.11448496973220726
722065,0.4153794513972786,0.21603485934870742,0.4798664074327922,,,722065,0.4126170926786583,0.20367550000946538,0.11448751562283445
722066,0.4153658949685429,0.21609843769093146,0.47986458435295176,,,722066,0.41261299468079765,0.20367905622025514,0.11448765640986025
722067,0.41535404483865657,0.21616066775735943,0.47986255545641815,,,722067,0.4126081058114165,0.2036948463592235,0.1144871566061834
722068,0.4153375847973785,0.21622165311020958,0.4798570510170461,,,722068,0.4126066378310068,0.20369431074706118,0.11448364395076424
