field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
711905,0.09778763191790729,0.0936290741142811,0.4785051220908787,,,711905,0.08283766011475505,0.08493953336708315,0.1133159804205281
711906,0.0976611948717317,0.09370502322870766,0.4785099625998329,,,711906,0.08282072948199175,0.08495209546620425,0.11331786820040604
711907,0.09754276275590615,0.09378121162730946,0.47851291233412085,,,711907,0.08281360640562854,0.08496236570719184,0.11331789747344964
711908,0.09743259495105974,0.0938512029432231,0.47851334838471626,,,711908,0.0827892938486476,0.08497215369549416,0.1133163396531002
711909,0.09732935190582839,0.0939153016466168,0.4785164702025654,,,711909,0.0827772863839511,0.0849805758191517,0.11331717251337935
711910,0.09723767830301565,0.09397503197921474,0.47852419652433953,,,711910,0.08277124435505051,0.08498781025742055,0.11332278482965266
711911,0.09715181566375031,0.09402865585864435,0.4785257825454919,,,711911,0.0827632181907505,0.0849951459610066,0.113322437912767
711912,0.09707692844457341,0.09407804670451085,0.47852620946792884,,,711912,0.08275016840140495,0.08499762941260294,0.11332159704126475
711913,0.0970160247687189,0.09412501362895995,0.47852466986049524,,,711913,0.08273247592852201,0.08500337411019826,0.11331939211350114
711914,0.09697076237795395,0.0941659145585945,0.4785296368925933,,,711914,0.08272984393900475,0.08501191275574449,0.1133235040549201
711915,0.09693952894455124,0.09420075608409341,0.47852903430690563,,,711915,0.0827263361471414,0.0850126704453467,0.1133226772948209
711916,0.0969185213853141,0.09423226106268336,0.478531585292924,,,711916,0.082719767454667,0.08501905183503669,0.11332529956965755
711917,0.09691025006909615,0.09425786173736515,0.4785287418325683,,,711917,0.08272769664918905,0.08501762396576085,0.11332250947384295
711918,0.09690877226431414,0.09428260111343055,0.4785254981462586,,,711918,0.0827227929877338,0.0850228443082919,0.11331989322607994
711919,0.09691827008641174,0.09430379189489475,0.47851962216191146,,,711919,0.08272447157090154,0.08502634108632154,0.11331477011386551
711920,0.09694344632018714,0.09432184077900485,0.4785185130292967,,,711920,0.08272742418828741,0.08503826830275175,0.1133146809490965
711921,0.0969808879759991,0.09433413437845535,0.4785146529831923,,,711921,0.08273306261423685,0.0850321386719209,0.11331252906059536
711922,0.09703028234256031,0.09434120824022345,0.4785161846800163,,,711922,0.08274328094345826,0.08503167912967105,0.11331578321802249
711923,0.09709000485439725,0.0943411450880293,0.4785161381453087,,,711923,0.08274421048503225,0.0850311899740134,0.11331805232211259
711924,0.0971623039513449,0.09433236402939696,0.4785121817147707,,,711924,0.0827583728435798,0.08503220298934465,0.1133161347173923
711925,0.09724249274397789,0.0943122804773463,0.4785084900753463,,,711925,0.08277188379249589,0.085032650562202,0.11331455678174565
711926,0.09733525800090845,0.09428533318373025,0.4785096882012009,,,711926,0.0827888453307963,0.0850376757269588,0.11331795543711895
711927,0.097437982123445,0.09425577616458215,0.4785069557391467,,,711927,0.0828045995078306,0.0850261777384024,0.11331824069532706
711928,0.09754696558536691,0.09422465325928535,0.47850373433870436,,,711928,0.08281275566959995,0.0850222481655319,0.11331838719579371
711929,0.0976610795337702,0.09419072528461245,0.4785013912933316,,,711929,0.0828293769531191,0.0850216046039735,0.11331915350821889
711930,0.097787329617211,0.0941578258833176,0.4784943708176963,,,711930,0.0828370597798065,0.0850198740635259,0.113316186587631
711931,0.09792206548305729,0.0941241651697728,0.4784910409846713,,,711931,0.08285929706143785,0.0850038951125288,0.11331703773307175
711932,0.098063361565212,0.09409451529118615,0.4784865700727961,,,711932,0.0828783427294023,0.0850045853962422,0.11331687342930319
711933,0.09820804082451196,0.09406887999619196,0.4784780898975207,,,711933,0.08288990022174644,0.08499746534108815,0.11331349279935099
711934,0.0983569413646288,0.09404117309288515,0.4784709480843632,,,711934,0.08291306039721236,0.08500067018859975,0.11331088069316894
711935,0.09852029035929374,0.09401746750426185,0.478464749751752,,,711935,0.0829447494269111,0.08500290892786741,0.1133096330854564
711936,0.09868735583916194,0.09399289602448255,0.478454435855065,,,711936,0.0829592832958789,0.08499239907765326,0.11330551040406095
711937,0.09885460672912105,0.09397199306238825,0.47844997773094394,,,711937,0.08298435854423786,0.08499440737762201,0.11330663992089625
711938,0.09902200835368374,0.09395322724198155,0.478443443111777,,,711938,0.0829999991376532,0.08498950955808846,0.11330639219088715
711939,0.0991945740961187,0.0939346676275851,0.47843846432016834,,,711939,0.08303263790628605,0.08499199666532345,0.11330706410389535
711940,0.09936600931879144,0.09391248326286596,0.47843175895890755,,,711940,0.0830507819182689,0.08498654622163596,0.1133067667000307
711941,0.09953319700664254,0.09389109991911256,0.47842285930151196,,,711941,0.0830730734340879,0.08497589637047835,0.1133041081438889
711942,0.09969149118235904,0.0938713030850125,0.47841601661531996,,,711942,0.08309439283802425,0.0849739148619328,0.11330303166600894
711943,0.0998469534310953,0.09385096615324726,0.4784100576359265,,,711943,0.08311246113950116,0.08497039583646045,0.11330293471467914
711944,0.10000315129875825,0.0938337294903375,0.47840592821207195,,,711944,0.08313095001884245,0.08496909189825055,0.11330475594119235
711945,0.1001589855644995,0.0938152669271699,0.47840255758337474,,,711945,0.08315773694300499,0.08496028717940715,0.11330713738720685
711946,0.10030688038630739,0.0937991972036098,0.4783927632307542,,,711946,0.0831776983637123,0.08496258912289109,0.11330287779142259
711947,0.1004454352860224,0.0937813994666945,0.4783892185903301,,,711947,0.08319475042565246,0.0849593563018606,0.11330470180622215
711948,0.10057290230741105,0.09376359850587379,0.4783853336874238,,,711948,0.08321123783906559,0.0849597696678791,0.11330563804013155
711949,0.10068955238471294,0.0937392205686052,0.4783782607067646,,,711949,0.0832215164798397,0.0849543480196317,0.1133031825308312
711950,0.10079574885483544,0.09371301601863401,0.4783748661991939,,,711950,0.0832445130504545,0.08495850855002335,0.11330304903172106
711951,0.1008908114835052,0.09368758131587356,0.478366746025605,,,711951,0.0832583195907414,0.0849504147720544,0.11329842896744566
711952,0.10097320289991485,0.09366187493480305,0.4783625793792303,,,711952,0.08326800884945079,0.08494834938422896,0.11329721599158371
711953,0.10104390719748946,0.0936379535931136,0.47835948858126986,,,711953,0.0832723634960207,0.08494300252498635,0.11329690623458605
711954,0.1011085595589245,0.0936128625244278,0.47835399076949137,,,711954,0.0832828100395557,0.08493552930668875,0.1132936320457035
711955,0.101161079423737,0.09358769514412865,0.47835303824241415,,,711955,0.08328900493230584,0.08492740097476355,0.1132945398787789
711956,0.10120357770732574,0.09356096960549096,0.47835365050520673,,,711956,0.08329718616061094,0.0849293235061066,0.11329615531214775
711957,0.10123270634356825,0.09353266174067404,0.47835525706261306,,,711957,0.08330922971721186,0.08492669937675795,0.11329799392893035
