%time,field.frameNumber,field.x_m,field.y_m,field.z_m
,650080,0.6038455524985341,0.3162923525096919,0.0
,650081,0.6033997731336015,0.31632402792837,0.0
,650082,0.602976176649545,0.31604392976914214,0.0
,650083,0.6040188777944531,0.3163863259447257,0.0
,650084,0.6037470625801303,0.3164549478412605,0.0
,650085,0.6033335610458519,0.31624137762573507,0.0
,650086,0.6041422825827106,0.3164975698936704,0.0
,650087,0.6040198649614894,0.3166080958206857,0.0
,650088,0.6035386494830705,0.3163338366571219,0.0
,650089,0.604100774911269,0.31648492069341716,0.0
,650090,0.6038470814788752,0.31652082244848445,0.0
,650091,0.6034471563510098,0.3163390391657094,0.0
,650092,0.6038567553977743,0.31646735835060863,0.0
,650093,0.6037440878757423,0.31651171625380375,0.0
,650094,0.6038004042712434,0.31651419655937557,0.0
,650095,0.6039427968647033,0.3165936239839741,0.0
,650096,0.6037373573086259,0.3165794541218111,0.0
,650097,0.6036594939286165,0.3164892372621435,0.0
,650098,0.603751127094108,0.31656689842762714,0.0
,650099,0.6034492361171729,0.316445758404544,0.0
,650100,0.6038147491309573,0.3164854475230523,0.0
,650101,0.6037087298316789,0.31656846892710944,0.0
,650102,0.6032477561126368,0.31634786661956815,0.0
,650103,0.6040810824329057,0.3166406555612079,0.0
,650104,0.6036729969762215,0.3166660370102877,0.0
,650105,0.6029646315883156,0.316295141728435,0.0
,650106,0.6037799134284914,0.3164965767762117,0.0
,650107,0.6035794408307534,0.31659940078281484,0.0
,650108,0.6027762006543873,0.3163735176001216,0.0
,650109,0.6030927983160456,0.31633480775597056,0.0
,650110,0.6034707086573522,0.31658745240597375,0.0
,650111,0.6025184564709952,0.3162963124882312,0.0
,650112,0.6030886186467272,0.31634533755849625,0.0
,650113,0.6033376404728651,0.3166075368011424,0.0
,650114,0.6024959027366432,0.31625735140652594,0.0
,650115,0.6034390438392888,0.3163460531449567,0.0
,650116,0.6043824056464938,0.31688185449712847,0.0
,650117,0.6031606451530644,0.3165650456217979,0.0
,650118,0.6034818450658591,0.316517028653288,0.0
,650119,0.604190142072517,0.31692945193873284,0.0
,650120,0.6032578932454696,0.31661318631403634,0.0
,650121,0.6038666949916612,0.3167606019573862,0.0
,650122,0.6041817153843673,0.31708673833562584,0.0
,650123,0.6036067428904378,0.3168212174957395,0.0
,650124,0.6039439783229967,0.31690176854453916,0.0
,650125,0.6041680565315442,0.31708403919076955,0.0
,650126,0.6040234421245764,0.31704162992152424,0.0
,650127,0.604344864868894,0.3170917838760213,0.0
,650128,0.6046786786818735,0.31729292144232074,0.0
,650129,0.604501690902708,0.3172311387055946,0.0
,650130,0.6044669624558551,0.3171826196401075,0.0
,650131,0.6046380137845754,0.3172537624385768,0.0
,650132,0.6049200899514894,0.317363006315385,0.0
,650133,0.6047896529488443,0.3173661888418965,0.0
,650134,0.6047558415295718,0.317294384694874,0.0
,650135,0.605052747314445,0.3174154638493992,0.0
,650136,0.6046603710000439,0.31737771174758633,0.0
,650137,0.604526532166451,0.317229501022796,0.0
,650138,0.6052718516334664,0.31748576956405195,0.0
,650139,0.6046470309969542,0.3174142113857875,0.0
,650140,0.6041574334946304,0.3171665756987496,0.0
,650141,0.6050172473256186,0.31748766718152854,0.0
,650142,0.6044537107602356,0.31739020348161884,0.0
,650143,0.6042634798039404,0.31714407203690864,0.0
,650144,0.6054775180584823,0.317597123139724,0.0
,650145,0.6049207169400084,0.31771688160886047,0.0
,650146,0.6042157673311994,0.31732674931743887,0.0
,650147,0.6052614579153711,0.31761098904905616,0.0
,650148,0.6050543057096036,0.3177614113389256,0.0
,650149,0.6042777053060193,0.317315267500527,0.0
,650150,0.6053064073240441,0.31766645228880774,0.0
,650151,0.6046023799501795,0.31760965980704603,0.0
,650152,0.6039695863878453,0.31715280008899605,0.0
,650153,0.6047530895165966,0.3174933494090041,0.0
,650154,0.6039472904291029,0.3173962799033606,0.0
,650155,0.6035766752777676,0.317077050895575,0.0
,650156,0.6045295467388448,0.31739503475375364,0.0
,650157,0.6043310888765231,0.3175941010693384,0.0
,650158,0.603318258404858,0.317139054248651,0.0
,650159,0.6044828763526516,0.3175037632352342,0.0
,650160,0.6039092851673221,0.31752609867145265,0.0
,650161,0.6035323018550695,0.317212036952477,0.0
,650162,0.6045776116901994,0.31766281604976565,0.0
,650163,0.6034567094518172,0.3173449477785185,0.0
,650164,0.6038074299642393,0.31726422603018584,0.0
,650165,0.6043701404646439,0.31769671018856716,0.0
,650166,0.6033020278667394,0.31739164732227987,0.0
,650167,0.6032133891530218,0.31714830997840876,0.0
,650168,0.6038453331472688,0.31745990956887304,0.0
,650169,0.6032819309034885,0.3173106509457231,0.0
,650170,0.6034866888085528,0.31733088590965364,0.0
,650171,0.6035444457398957,0.31736081971129304,0.0
,650172,0.603527876017864,0.3173487038169884,0.0
,650173,0.6033106108188128,0.31728467288524476,0.0
,650174,0.6032140009535167,0.317229476676051,0.0
,650175,0.603507707965915,0.31733240109294336,0.0
,650176,0.6038789720252282,0.31757603816621444,0.0
,650177,0.6032275283715814,0.3173621563773625,0.0
,650178,0.6034670096717276,0.31733508679342276,0.0
,650179,0.6038711145975563,0.31759943591146317,0.0
,650180,0.6032838060302438,0.317423042500558,0.0
