%time,field.frameNumber,field.x_m,field.y_m,field.z_m
,690341,0.12039895201069335,0.31828697001401424,0.0
,690342,0.12056256056402681,0.31831352136824076,0.0
,690343,0.12043551373284733,0.3182822610406646,0.0
,690344,0.12007237930164465,0.3183429786965103,0.0
,690345,0.11929689535932249,0.3189674550843944,0.0
,690346,0.1189550287702077,0.31927523785658984,0.0
,690347,0.11980028101797702,0.3188935038784345,0.0
,690348,0.1207538578913645,0.31821755600737894,0.0
,690349,0.1206744408459514,0.3182640453051211,0.0
,690350,0.11999620921182078,0.3186784915009865,0.0
,690351,0.11961176360300699,0.3187857092434653,0.0
,690352,0.1196483830118373,0.3187832681076853,0.0
,690353,0.11940235522162204,0.3187537711394007,0.0
,690354,0.11885436447738196,0.31879322392250053,0.0
,690355,0.11779325316381484,0.3194397536912127,0.0
,690356,0.11737480082358716,0.31979646623639024,0.0
,690357,0.11803413226369268,0.31961415142839283,0.0
,690358,0.11877805312856497,0.31904729572099727,0.0
,690359,0.11928991842914735,0.3186546868192015,0.0
,690360,0.11930718020955207,0.3186306067260972,0.0
,690361,0.119645684965789,0.3184381359608769,0.0
,690362,0.12010095759864277,0.3183696220464699,0.0
,690363,0.12017466290791708,0.31827141011419774,0.0
,690364,0.11963710394627966,0.31831142819712965,0.0
,690365,0.11867575759481497,0.31871337829586405,0.0
,690366,0.11790417376483446,0.3192710095049901,0.0
,690367,0.11829741870613149,0.31922786675083875,0.0
,690368,0.11915591958505518,0.3188065650399645,0.0
,690369,0.12006586457841877,0.3180713761232231,0.0
,690370,0.12054053456327134,0.3177541383495841,0.0
,690371,0.12006987558056889,0.31813612814929176,0.0
,690372,0.11947437510088274,0.31844376951854353,0.0
,690373,0.11927201696821928,0.31843274957604245,0.0
,690374,0.11935924758760356,0.3184843035469408,0.0
,690375,0.11948414372136992,0.31855816802746106,0.0
,690376,0.1196213652901558,0.3183974524545451,0.0
,690377,0.11981198063989631,0.31825079278464713,0.0
,690378,0.11957240784185227,0.31845046045486686,0.0
,690379,0.11907932012714573,0.31873228329897013,0.0
,690380,0.11889836155184592,0.31883051920608707,0.0
,690381,0.11862772467946452,0.31886549279059784,0.0
,690382,0.11806257719710174,0.31905434319393267,0.0
,690383,0.11704987355884955,0.31975820188600823,0.0
,690384,0.11696681870549759,0.3198910928707875,0.0
,690385,0.11804548880365832,0.3194136148918312,0.0
,690386,0.11917542772111507,0.3186986503816483,0.0
,690387,0.11962407746203403,0.3184253687395058,0.0
,690388,0.11925324867770022,0.3187453119237012,0.0
,690389,0.11871856648833223,0.3190065856301765,0.0
,690390,0.1186673112364541,0.31902677168996585,0.0
,690391,0.11846100653781073,0.3189987677570457,0.0
,690392,0.11807859926592708,0.3190909240309401,0.0
,690393,0.11725761749689248,0.31974048984926273,0.0
,690394,0.1171750083714744,0.31993286425266043,0.0
,690395,0.11826144528324908,0.3194627367657782,0.0
,690396,0.11944176254821785,0.3189353649140525,0.0
,690397,0.11971276512336067,0.3186560598412691,0.0
,690398,0.11914276284842244,0.31869958707827367,0.0
,690399,0.1180745469476161,0.3192392583537145,0.0
,690400,0.11696153505588233,0.3200161523895284,0.0
,690401,0.11636066659350486,0.3204427194545622,0.0
,690402,0.11674815033985628,0.32021483317272453,0.0
,690403,0.11802838652633438,0.31957387804034737,0.0
,690404,0.11911529414948971,0.3190368613238587,0.0
,690405,0.11925192148171741,0.3188583462686244,0.0
,690406,0.11817751255015063,0.31932543457689916,0.0
,690407,0.11725133580354008,0.319662907601949,0.0
,690408,0.11733303645504897,0.3196830631180145,0.0
,690409,0.11771116176996517,0.3197989529931061,0.0
,690410,0.1182731671881847,0.31955536547225594,0.0
,690411,0.11922271894200387,0.31881057867643825,0.0
,690412,0.1196145898376125,0.31855440538614405,0.0
,690413,0.11871648292744923,0.31904208470509526,0.0
,690414,0.11805242418594437,0.31930526269540943,0.0
,690415,0.1184072416597173,0.31934049366392536,0.0
,690416,0.1193340740269276,0.3189163723592517,0.0
,690417,0.1202583647479889,0.3182010905605631,0.0
,690418,0.12013039434689862,0.3182042927605113,0.0
,690419,0.11904193181791048,0.318700903902854,0.0
,690420,0.1178598410412572,0.3193538182531495,0.0
,690421,0.11715977103495308,0.31982709519662933,0.0
,690422,0.11739898570271498,0.3197385235644691,0.0
,690423,0.11855582137658574,0.31913488723151745,0.0
,690424,0.11956901689743067,0.3187920398430298,0.0
,690425,0.11949720205258749,0.31876652743381123,0.0
,690426,0.11914820047246522,0.31872652366266885,0.0
,690427,0.11854178292993947,0.3191645805457982,0.0
,690428,0.11801550045202605,0.3195132019428987,0.0
,690429,0.11876210694807883,0.3190088370448665,0.0
,690430,0.11975834108990831,0.31861217987107654,0.0
,690431,0.12007105532000768,0.3186269062489109,0.0
,690432,0.11998101898221977,0.31860328336118116,0.0
,690433,0.12005771422153799,0.31862993313763427,0.0
,690434,0.12068522940000785,0.3181641734383379,0.0
,690435,0.12118874158996958,0.3178305967348838,0.0
,690436,0.12044428142520383,0.31822557512720157,0.0
,690437,0.11918698936579977,0.31881543882265295,0.0
,690438,0.11853852847461474,0.31919481052562626,0.0
,690439,0.1192286696709854,0.3188154040881364,0.0
,690440,0.1206136263733563,0.31818912312034753,0.0
,690441,0.12133911359741223,0.31799617965743343,0.0
,690442,0.12120603208488609,0.3179629745700433,0.0
,690443,0.12110451499528044,0.3178705815826294,0.0
,690444,0.1212095469804729,0.31780202524547396,0.0
,690445,0.12142287669294619,0.3176215290105767,0.0
,690446,0.12129293956810017,0.3177040771734916,0.0
,690447,0.12103199751467413,0.3177447614423375,0.0
,690448,0.12130394107541768,0.3178576553419378,0.0
,690449,0.12193545093783076,0.317455637232035,0.0
,690450,0.12267284027175573,0.3169148828967029,0.0
,690451,0.12234372971838411,0.31715924719882505,0.0
,690452,0.1211713161603003,0.3177319163174518,0.0
,690453,0.12074049325998015,0.3179155327776189,0.0
,690454,0.12130047253072351,0.31784158028236814,0.0
,690455,0.12229736133011564,0.3172673818544835,0.0
,690456,0.12243526330495595,0.31709554659687966,0.0
,690457,0.12138019263118291,0.3175545873730618,0.0
