%time,field.frameNumber,field.x_m,field.y_m,field.z_m
1690209731473841993,685931,0.16724016642290931,0.3203715736436098,0.0
1690209731474323790,685931,0.16716457788969497,0.3204493125535901,0.0
1690209731474648876,685931,0.16717459513276278,0.32042556092317187,0.0
1690209731474749523,685931,0.1671333415940461,0.3204336923481901,0.0
1690209731474966033,685931,0.16710551181048391,0.32040355410470395,0.0
1690209731474978769,685931,0.16707763446114293,0.3203958432809596,0.0
1690209731475028702,685931,0.16708585804250004,0.32040131252326076,0.0
1690209731475041154,685931,0.16706643460595225,0.32047727188793673,0.0
1690209731475054194,685931,0.16708944082344843,0.32044897343831735,0.0
1690209731475071955,685931,0.16711531471641503,0.3204650298045664,0.0
1690209731482006655,685932,0.1670790202670833,0.3205393106558106,0.0
1690209731482796677,685932,0.16713593349110245,0.3205435429651521,0.0
1690209731483187269,685932,0.1671930907709457,0.32050315504156657,0.0
1690209731483209948,685932,0.16716082827936718,0.3205337884297953,0.0
1690209731483219286,685932,0.16715540846646684,0.3204845728942089,0.0
1690209731483234325,685932,0.16707235379750857,0.3205998669704632,0.0
1690209731483931016,685932,0.16704958898220648,0.3206319237160386,0.0
1690209731484164079,685932,0.16701062533373937,0.32070143168000353,0.0
1690209731484191245,685932,0.16697786169630466,0.32071773399985554,0.0
1690209731484200143,685932,0.16695352149240134,0.3207413763324308,0.0
1690209731491345480,685933,0.16693814325949763,0.3207975953391851,0.0
1690209731491934750,685933,0.16698710854956533,0.3207537366991977,0.0
1690209731492111124,685933,0.16695041007294445,0.32077103907525994,0.0
1690209731492288877,685933,0.16691981024763292,0.3207616968728595,0.0
1690209731493063622,685933,0.16689238739081552,0.32076941867895975,0.0
1690209731493215102,685933,0.1668942935455233,0.32076783847822404,0.0
1690209731493401408,685933,0.16690685493271212,0.3208061679150047,0.0
1690209731493636955,685933,0.1669425083747446,0.32075527192947695,0.0
1690209731493653987,685933,0.16694000738260062,0.3207878980705946,0.0
1690209731493669307,685933,0.1669150416643637,0.3208614913104121,0.0
1690209731498660026,685934,0.16699218226669235,0.3208609240871404,0.0
1690209731500034938,685934,0.16705270164872177,0.32083591245430304,0.0
1690209731500112462,685934,0.16709768501666283,0.32079796382003317,0.0
1690209731500366397,685934,0.16714862742695732,0.3207486013146079,0.0
1690209731500377408,685934,0.16709319531980113,0.32079987758852957,0.0
1690209731500390746,685934,0.16711664259853468,0.3207979888757302,0.0
1690209731500404846,685934,0.1671409124449773,0.32078059033777706,0.0
1690209731500414170,685934,0.16711236448819364,0.3207950328341823,0.0
1690209731500429158,685934,0.16708642651955674,0.320819851615401,0.0
1690209731500441482,685934,0.16720255935897085,0.3208062289569221,0.0
1690209731507086851,685935,0.16718501868247004,0.32081370417506433,0.0
1690209731508016409,685935,0.16713142442201556,0.3208476196464299,0.0
1690209731508189513,685935,0.1672092303071437,0.32080665742298303,0.0
1690209731508219866,685935,0.1671541942133969,0.32088081514454003,0.0
1690209731508535280,685935,0.16711340217277146,0.32091964781282384,0.0
