field.frameNumber,field.x_m,field.y_m,field.z_m
690341,0.125530823864573,0.319684921014202,9.33377311818639E-05
690342,0.125546208602925,0.319682330600045,9.33360359986479E-05
690343,0.125550302690894,0.319678670380217,9.33346684873215E-05
690344,0.125554068093051,0.319661800531348,9.33292454644019E-05
690345,0.125567239670969,0.319661277796878,9.33283169934351E-05
690346,0.125571875135656,0.319648877069729,9.33242218407182E-05
690347,0.125582086110565,0.319644508558333,9.33222795483357E-05
690348,0.125588134336068,0.319639264949252,9.33203097972513E-05
690349,0.125596758353405,0.319631951353053,9.33175514987727E-05
690350,0.12560899959078,0.319629113172482,9.33159629936675E-05
690351,0.125612752556462,0.319624925609233,9.33144526878427E-05
690352,0.125619478758503,0.31962135400598,9.33129591941806E-05
690353,0.125624810162163,0.319619949804892,9.33122155054034E-05
690354,0.125632115984343,0.319612518068824,9.33094975485438E-05
690355,0.12564085099029,0.319611161174157,9.33085701964598E-05
690356,0.125645424333637,0.319609814330946,9.33078883559868E-05
690357,0.125652134758531,0.319602306461193,9.3305181596226E-05
690358,0.125659911095513,0.319596499134917,9.33029372999772E-05
690359,0.125664790318914,0.319591233005313,9.33010286945923E-05
690360,0.12566539194635,0.319588165368534,9.3300047403988E-05
690361,0.125666445366375,0.319582047955343,9.32980990591137E-05
690362,0.125673842476844,0.31957683079615,9.32960588957976E-05
690363,0.125678305472984,0.319571282841161,9.32940876036126E-05
690364,0.125679726742516,0.319566179154185,9.32924305269145E-05
690365,0.12568021280283,0.319568902694209,9.32932423209354E-05
690366,0.125673078458781,0.319562096160252,9.32915583358729E-05
690367,0.12567413067243,0.319558475426652,9.32903801902363E-05
690368,0.125675351628525,0.319558323451309,9.32902621924026E-05
690369,0.12567256242423,0.319556016522511,9.32897130621613E-05
690370,0.125661888942693,0.31956008274159,9.32915890495822E-05
690371,0.125660749545625,0.319559270353442,9.32914048278333E-05
690372,0.125652390250898,0.319558707347965,9.32917180805348E-05
690373,0.125652306568268,0.319560755350898,9.3292354684138E-05
690374,0.125647877629293,0.319568123365644,9.32948854108218E-05
690375,0.125641385411755,0.319566817291842,9.32948607008655E-05
690376,0.125636853094556,0.319574143149867,9.32973844455232E-05
690377,0.125633496714499,0.319573929686036,9.32975141049175E-05
690378,0.125614441978754,0.319576970603075,9.3299562023863E-05
690379,0.125602386013079,0.319572804020511,9.3298979039369E-05
690380,0.125590474639303,0.319575809099937,9.33005998119407E-05
690381,0.125578225621097,0.319575576025063,9.33012414070511E-05
690382,0.125568562081144,0.31958318783734,9.33041522446221E-05
690383,0.125562650083351,0.319580688910721,9.33037257887515E-05
690384,0.125552628045151,0.319592119916818,9.33078355811467E-05
690385,0.125535499452201,0.31958890552946,9.33078417860167E-05
690386,0.125518131224013,0.319589798394552,9.33091288774501E-05
690387,0.125507280662049,0.319591034051813,9.33101420608762E-05
690388,0.125489123357284,0.319592122581372,9.33115354697645E-05
690389,0.125470523828108,0.319600432603906,9.33151821879696E-05
690390,0.125456267184971,0.319598469734137,9.33154071498521E-05
690391,0.125442118894392,0.319596884205501,9.3315742195843E-05
690392,0.125435132288644,0.319597087221845,9.33162117791042E-05
690393,0.125422804389622,0.319597543155938,9.33170705013642E-05
690394,0.125415539404207,0.319593709182883,9.33163110456992E-05
690395,0.125406149624757,0.319596460238134,9.33177065820523E-05
690396,0.125392047167294,0.319598403010711,9.33191273021494E-05
690397,0.125374093048582,0.319605055963008,9.33222252837984E-05
690398,0.12535379635141,0.319597524198805,9.33210842838372E-05
690399,0.125343656832198,0.319606186970344,9.33243470263023E-05
690400,0.125318677816172,0.319615615801914,9.33287104505354E-05
690401,0.125303992005804,0.319611443880475,9.33282790044898E-05
690402,0.125293463545932,0.319611528904127,9.33289185001684E-05
690403,0.125271835484798,0.319622372854567,9.33335232448096E-05
690404,0.12525601959439,0.319633153135628,9.33377697979187E-05
690405,0.125237517634584,0.319648139688898,9.33434702833913E-05
690406,0.125212699865583,0.319659649469323,9.33484662066775E-05
690407,0.125196397986636,0.319668348187097,9.33520989871428E-05
