field.frameNumber,field.x_m,field.y_m,field.z_m
722032,0.411691236833823,0.200163330298584,3.98014841226924E-05
722033,0.411694464534918,0.200151888214598,3.97977666746208E-05
722034,0.411695557830221,0.200140166334596,3.97940872467473E-05
722035,0.411700463499306,0.200133100200369,3.97916218699002E-05
722036,0.411704070229731,0.200116286778134,3.97862254946091E-05
722037,0.411705562025781,0.200105814868163,3.97829084215484E-05
722038,0.411703722036502,0.200096756371493,3.97802214042176E-05
722039,0.411704036583744,0.200088163618989,3.97775525515787E-05
722040,0.411695089091811,0.200079689595747,3.97754598246425E-05
722041,0.411709387760365,0.200067633428033,3.97709080858788E-05
722042,0.411704488500361,0.200061877973485,3.97694181271668E-05
722043,0.411707128890037,0.2000430061824,3.97634431130722E-05
722044,0.411712279821559,0.200030397052962,3.97592536510727E-05
722045,0.411712258646597,0.200016193877729,3.97548737564035E-05
722046,0.411706388306959,0.199996339091476,3.97490912654175E-05
722047,0.411707459854086,0.199989610521476,3.97469533468531E-05
722048,0.41171131489701,0.199979793521621,3.97437006321999E-05
722049,0.411723223958691,0.199970608816594,3.97401738195802E-05
722050,0.411719988986334,0.199954761279568,3.97354739026801E-05
722051,0.41173257438642,0.199949771150311,3.97332015582008E-05
722052,0.411724302788338,0.199931121182147,3.97279305772713E-05
722053,0.411735246742318,0.199931039048983,3.97272677710725E-05
722054,0.411723356829913,0.199912344124968,3.97221936851988E-05
722055,0.411722613369516,0.199899595892943,3.97183046563221E-05
722056,0.411722714581134,0.199890173752477,3.97153923962223E-05
722057,0.411723289223342,0.199881538537626,3.97126952954574E-05
722058,0.411731964483714,0.199870795399521,3.97088761320274E-05
722059,0.411731822317702,0.19985902731803,3.97052544167109E-05
722060,0.411725356697885,0.19984393761092,3.97009764419587E-05
722061,0.411733130257296,0.199838179167769,3.96987473859634E-05
722062,0.411733821869537,0.199824599037896,3.96945181578845E-05
722063,0.4117413767612,0.199820133647169,3.96927006951486E-05
722064,0.411736176715892,0.199808017077262,3.96892660999293E-05
722065,0.411751837558981,0.199804171180184,3.96871675660826E-05
722066,0.411750696500076,0.199788900773824,3.96825237038434E-05
722067,0.411747988285294,0.199790145142015,3.96830652930058E-05
722068,0.411751237851497,0.199770437990578,3.9676797119248E-05
722069,0.411758586829901,0.199772519318383,3.96770110594469E-05
722070,0.411759342640673,0.199766753151951,3.96751883959268E-05
722071,0.411768676302314,0.199766155072133,3.96744602376708E-05
722072,0.411664984228936,0.199769252189173,3.96814555083669E-05
722073,0.41166575626476,0.199761154206867,3.96789126250741E-05
722074,0.411665241761988,0.199752834927864,3.96763764196062E-05
722075,0.411666830435688,0.199752684749419,3.96762375574067E-05
722076,0.41166536435541,0.199744520105517,3.96738044790013E-05
722077,0.411675241012391,0.19974421123551,3.96731339019074E-05
722078,0.411670690337392,0.199739694676098,3.96720057898592E-05
722079,0.411680420979102,0.199732102604165,3.96690971330438E-05
722080,0.411679050261976,0.199735568334268,3.96702460186416E-05
722081,0.411687355104705,0.199731973633638,3.96686534467339E-05
722082,0.411691544209263,0.199731866693105,3.9668376449753E-05
722083,0.411700134741849,0.199737178788995,3.96695146375192E-05
722084,0.411701397768618,0.199738620270723,3.96698857089151E-05
722085,0.411712344368042,0.199736224961294,3.96685092234894E-05
722086,0.41172441494409,0.199734097375373,3.96671498504864E-05
722087,0.411721203916457,0.199714390939465,3.96612582182487E-05
722088,0.411742325915142,0.199715380230321,3.96603330468093E-05
722089,0.411746632568983,0.199713475163802,3.96594945507589E-05
722090,0.411755729295418,0.199711881319654,3.96584730389948E-05
722091,0.411763145052807,0.199719525704779,3.96603990765465E-05
722092,0.411768090280555,0.199727040197969,3.96624289529246E-05
722093,0.41178847178196,0.199713028442004,3.96569196738916E-05
722094,0.411788640021615,0.199715109360468,3.96575517565556E-05
