field.frameNumber,field.x_m,field.y_m,field.z_m
694066,0.079107239030823,0.319152498373865,9.58776137902073E-05
694067,0.07907835036814,0.319147297018107,9.58776921014537E-05
694068,0.079061762561765,0.319150800567989,9.58797390292476E-05
694069,0.079051417478852,0.319145966175033,9.58788503944707E-05
694070,0.079038689037381,0.319139048242931,9.58774578962429E-05
694071,0.079028679888384,0.319127963220236,9.5874621617309E-05
694072,0.079015254538994,0.319121434665018,9.58733898208108E-05
694073,0.079006471960142,0.319103321902774,9.58683143110761E-05
694074,0.078990030406825,0.319090419357085,9.58652920760028E-05
694075,0.078985214987924,0.319069353156163,9.58590744630228E-05
694076,0.078977407896469,0.319055794846231,9.58553470040147E-05
694077,0.0789566316785,0.31903690332636,9.58507298919886E-05
694078,0.078954680905344,0.319014478662672,9.58439263840094E-05
694079,0.078951813854886,0.318998599860357,9.58391953919113E-05
694080,0.078945007757011,0.318975990186618,9.58326176318525E-05
694081,0.078945185497632,0.318957907543728,9.58270294857955E-05
694082,0.078946763880818,0.318944581113105,9.58228268602701E-05
694083,0.07894793703614,0.31891178080957,9.58126409058013E-05
694084,0.078954700786518,0.318900578965869,9.58087915919892E-05
694085,0.07895279566019,0.318869302711899,9.57992550533748E-05
694086,0.078967574430744,0.318846261384888,9.57912868542188E-05
694087,0.078963405271719,0.318827318609934,9.57856865916318E-05
694088,0.078961935411585,0.31880269794688,9.57781776906863E-05
694089,0.078966479292695,0.318785763247977,9.57726893183186E-05
694090,0.078983312887449,0.318773522843375,9.57679330936823E-05
694091,0.078989883005201,0.318754891555736,9.57618033636809E-05
694092,0.078995250893096,0.318731702722812,9.57543378368175E-05
694093,0.078993246049923,0.318718830596753,9.57504840652934E-05
694094,0.079007820581866,0.318703128402077,9.5744791599961E-05
694095,0.079013171468835,0.31868804099849,9.57398260396647E-05
694096,0.079024606883934,0.318682426610519,9.57374281203571E-05
694097,0.07903494230344,0.318668105483787,9.57324085842925E-05
694098,0.079036274683387,0.318661073406462,9.57301618521034E-05
694099,0.079053776467151,0.318643969433027,9.57238664836546E-05
694100,0.079060116297124,0.318637155083158,9.57213952343383E-05
694101,0.079068353227043,0.318625940764747,9.57174562621343E-05
694102,0.079070473468499,0.31861508700385,9.5713984797019E-05
694103,0.079078935443249,0.318608023690914,9.57113131397902E-05
694104,0.079080035589753,0.318609622379465,9.57117421911957E-05
694105,0.079098644607622,0.318599050458982,9.57073972128741E-05
694106,0.079096941479047,0.318587795874103,9.57040248155683E-05
694107,0.079107265786359,0.318582659154927,9.570183895935E-05
694108,0.079115716758663,0.318581331294083,9.57009371074236E-05
694109,0.07912646083154,0.318577818439849,9.56992276998636E-05
694110,0.07912637850527,0.318578941224556,9.56995788306547E-05
694111,0.07913497265532,0.318577692606289,9.56986930821802E-05
694112,0.079140990554934,0.318580080992875,9.56990792717605E-05
694113,0.079145398114248,0.318579886429751,9.56987625221895E-05
694114,0.079136485395173,0.318581719881084,9.5699847225017E-05
694115,0.07914283063284,0.318584748888255,9.57004119540583E-05
694116,0.079142974323522,0.318588790287046,9.57016501988428E-05
694117,0.079149182789292,0.318590520113974,9.57018221482975E-05
694118,0.07914568375237,0.31859862223461,9.57045251524513E-05
694119,0.079149685634968,0.318602857937558,9.57055985974509E-05
694120,0.079149802394406,0.318619815800836,9.57108226388725E-05
694121,0.079151654569148,0.318628365620252,9.57133520395614E-05
694122,0.07915042499817,0.31863993636059,9.57169927846002E-05
694123,0.079144341516761,0.318645103971704,9.57189411467385E-05
694124,0.079145976253587,0.31865478607379,9.57218324781905E-05
694125,0.079142406360036,0.318667610638313,9.57259962999779E-05
694126,0.079138808147578,0.318678142658206,9.57294546105047E-05
694127,0.079137322954738,0.318689802599313,9.57331377600124E-05
694128,0.079139964907525,0.318704135568591,9.5737405034324E-05
694129,0.079137154769464,0.3187108613035,9.57396433490243E-05
694130,0.079131246267016,0.318720512170239,9.5742964429546E-05
694131,0.079135003617909,0.31872725696056,9.57448260743843E-05
694132,0.079141743027976,0.318732742242993,9.57461255091108E-05
694133,0.079141734205447,0.318740376426902,9.57484808725151E-05
694134,0.07913557700142,0.318748643842382,9.57513896982509E-05
694135,0.079141345662614,0.318751191816291,9.57518396321189E-05
694136,0.079154481126208,0.318759455228619,9.57536234500456E-05
694137,0.079141009635588,0.318761649122525,9.57550848783018E-05
694138,0.079150447230205,0.318770707740862,9.57573293824954E-05
694139,0.079146505920408,0.318774936659161,9.57588634157847E-05
694140,0.07914592486032,0.31877745631689,9.57596744784461E-05
694141,0.079158653515797,0.318781910872054,9.5760307107895E-05
694142,0.07915583789059,0.318783619274482,9.57609980901108E-05
694143,0.079167011368174,0.318778582160048,9.57587934953819E-05
694144,0.079171385049959,0.318780548139665,9.57591451620776E-05
694145,0.07916754257997,0.318781135931583,9.57595502922293E-05
694146,0.079179191861668,0.318779022237124,9.57582197438911E-05
694147,0.079187422237795,0.318779382919428,9.57578515912161E-05
694148,0.079185082667607,0.318773762427374,9.57562541650248E-05
694149,0.079196918945203,0.318767429608405,9.57536112882185E-05
694150,0.079210966139979,0.318760064071832,9.57505210748E-05
694151,0.079221098127088,0.31875679383736,9.5748922159189E-05
694152,0.079219745885201,0.31875967047964,9.5749888258001E-05
694153,0.079226091267678,0.3187448455418,9.57449457301696E-05
694154,0.079241886943091,0.318742254105874,9.57432262948532E-05
694155,0.07924677906984,0.318730954843982,9.57394559512603E-05
694156,0.079254755059926,0.318724406966014,9.57369715939849E-05
694157,0.079266827930328,0.31871257947459,9.57326200428654E-05
694158,0.07927837188553,0.318706943585101,9.57302091691981E-05
694159,0.079288167170252,0.318698249882731,9.57269569367702E-05
694160,0.07928259456637,0.318687761064857,9.57240461407771E-05
694161,0.079295074872939,0.31868533716132,9.5722571498813E-05
694162,0.079301606375615,0.318678510328743,9.57200852343965E-05
694163,0.079313174139371,0.31867696680449,9.57189353095744E-05
694164,0.079324007524744,0.318670144912701,9.5716199990159E-05
694165,0.079335196448425,0.318666545909309,9.57144380969166E-05
694166,0.079332048894655,0.318665296124838,9.57142359276908E-05
694167,0.079344366401857,0.318661029676833,9.57122024151102E-05
694168,0.079344536631156,0.318656189632027,9.57106995338464E-05
694169,0.079354486467197,0.318655905946094,9.57100324626148E-05
694170,0.079350465150924,0.318657755224372,9.5710837129559E-05
694171,0.07934814055058,0.318657223253879,9.57108084422287E-05
694172,0.07935481885177,0.318659916949981,9.57112503404134E-05
694173,0.079348737533484,0.3186613646096,9.57120511160814E-05
694174,0.079348900543923,0.31865929658486,9.57114037156703E-05
694175,0.079356629957229,0.318668570504051,9.57138141313707E-05
694176,0.079337018145422,0.318666014537763,9.57141680780205E-05
694177,0.0793451681359,0.318683569314387,9.57191083185149E-05
694178,0.07933530677483,0.318680276865297,9.57186671370902E-05
694179,0.079326943587604,0.318686564579994,9.57210937979069E-05
694180,0.07932136839935,0.318698524516493,9.57251077217114E-05
694181,0.079309615163613,0.318696969151183,9.57253125627999E-05
694182,0.079300959374362,0.318706620447058,9.57287938014306E-05
694183,0.079296968397891,0.318719177541866,9.57328996467055E-05
694184,0.079290438949743,0.318725173919578,9.57351296282383E-05
694185,0.079284921407139,0.318736252463265,9.57388683187621E-05
694186,0.079276004601936,0.318743095327781,9.57414984692484E-05
694187,0.079266087782642,0.318750253373984,9.57442840905376E-05
694188,0.079260452612491,0.318756736140317,9.57466120135031E-05
694189,0.079245646412687,0.318766142096211,9.57503758280964E-05
694190,0.079236707973687,0.318770466981347,9.57522305399805E-05
694191,0.079235110329463,0.318774602055319,9.57535991100711E-05
694192,0.079218375031028,0.318782148185619,9.57569016082349E-05
694193,0.079213718205387,0.31878640762901,9.5758486734987E-05
694194,0.079202631721596,0.318791632574318,9.5760744201312E-05
