field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
727933,0.16168366171431234,0.1729863290007641,0.47856220728018306,,,727933,0.1755168852472811,0.1962221380772791,0.11396536407870085
727934,0.1618958381818037,0.17321185829208685,0.47858319165556595,,,727934,0.17553513022427905,0.196263823332397,0.1139673724847571
727935,0.16208257832189935,0.1734250535626243,0.47860756024862405,,,727935,0.17556024703768575,0.19629330748242418,0.11397416301533905
727936,0.16225206858921026,0.17363639233102135,0.4786284496578341,,,727936,0.17558260296325134,0.19632257678296405,0.1139782709144877
727937,0.1623976022189283,0.1738425769147141,0.4786506473459379,,,727937,0.17559758299202927,0.1963511796725682,0.11398471491089596
727938,0.1625171507674335,0.17402987737300557,0.47866502734298055,,,727938,0.17561314925665428,0.19636668414931852,0.113984782668488
727939,0.162609145869402,0.1742014918843411,0.4786830987534552,,,727939,0.1756202839490491,0.19640018460870073,0.1139913833328258
727940,0.16267233957032262,0.17434812302537916,0.47869684607943896,,,727940,0.17562160019514161,0.196414862034657,0.113994920326357
727941,0.16270741112797843,0.17447525983731935,0.4787101811455678,,,727941,0.1756175967550087,0.1964417754802221,0.11400081978117199
727942,0.16271234961840364,0.17457919445245756,0.4787215356720612,,,727942,0.17561769966813,0.19646309575282475,0.11400703668249626
727943,0.1626921598711556,0.174658053310632,0.478728474165819,,,727943,0.17561148368541546,0.19647412121065266,0.1140104060326327
727944,0.1626448607656673,0.17471665937588687,0.47873240645622106,,,727944,0.17560598840236624,0.1964780411704427,0.11401255451227164
727945,0.1625764401982069,0.17475010637765775,0.4787355290539888,,,727945,0.17559674800169595,0.19649060912553562,0.1140165398387144
727946,0.1624837232747395,0.1747617974804724,0.47873397233284,,,727946,0.1755833933394377,0.19649378298983716,0.11401731735358545
727947,0.16237775105291286,0.1747593009873555,0.47873055805737796,,,727947,0.17557090208145035,0.19650045797944696,0.11401781927818055
727948,0.16226186506158263,0.17474790687095143,0.4787265856769778,,,727948,0.17555584245273836,0.1964988812549777,0.11401809352508335
727949,0.16214392899076768,0.17473355555393405,0.47872214584723677,,,727949,0.1755420775292685,0.19649738786251175,0.1140182328051309
727950,0.1620182420650118,0.17471819559979718,0.4787165159416724,,,727950,0.1755286315827802,0.19649181057008563,0.1140173275199768
727951,0.16189813727641764,0.17470262023247565,0.4787101043882408,,,727951,0.1755005638831085,0.19649623497880864,0.1140155317443123
727952,0.16178326936127405,0.1746916653410664,0.4787050986355875,,,727952,0.17549153766271697,0.19649020384351396,0.11401478334249865
727953,0.16167491393199054,0.17469256066717553,0.478698871337487,,,727953,0.17548100515104015,0.19648738866434323,0.1140120244577774
727954,0.16157668746500736,0.17470593492231284,0.47869720224634893,,,727954,0.1754607274712123,0.19648964478363465,0.1140126503566049
727955,0.1614883304086785,0.17472883579495385,0.47869154094646094,,,727955,0.1754494191215897,0.1964930791081018,0.11400876827383236
727956,0.16141226852775134,0.1747662365714604,0.47868945124089923,,,727956,0.17544772594814628,0.19648736275940404,0.11400696251767131
727957,0.1613499732490993,0.17481594709042994,0.47869206678161735,,,727957,0.175433121569389,0.196504774781807,0.11400949432167376
727958,0.1613022692231545,0.17488399912494373,0.4786965840328531,,,727958,0.17543708824402535,0.1965089879121211,0.11401221951959165
727959,0.16126226270873414,0.174968306402156,0.4787024997851296,,,727959,0.17543487586313788,0.19652430622526224,0.114015517734438
727960,0.16122965866271372,0.1750667506602889,0.4787065168665656,,,727960,0.17543152106813859,0.19654075649864944,0.11401583540251864
727961,0.1612123519915024,0.17518390713136456,0.4787153629663663,,,727961,0.1754239614994535,0.1965603804046002,0.11401933129775635
727962,0.16120308683568446,0.1753150719155204,0.47872128878417636,,,727962,0.17543130582047645,0.19657082135349865,0.1140188486091889
727963,0.16119475473148182,0.17545230162846095,0.47872556009403416,,,727963,0.17541907539690704,0.19659527974887947,0.11401641276284065
727964,0.1612021807791003,0.17560329588768175,0.47873382025820055,,,727964,0.175416670478522,0.19661011507993864,0.1140164217161944
727965,0.16121649927745393,0.17576557127506054,0.4787428554450538,,,727965,0.17542097375192084,0.19662608611916776,0.11401666938956545
727966,0.1612432226623233,0.1759368060696656,0.4787517727267393,,,727966,0.1754237579504819,0.1966481309663632,0.11401615284679914
727967,0.1612883338353931,0.17611489117818457,0.47876476269628715,,,727967,0.17542613444759858,0.19667303305361156,0.1140188177349771
727968,0.1613442330153749,0.17630353246209485,0.47877849919338034,,,727968,0.17543629446742104,0.19669120906497495,0.11402121631062856
727969,0.16140551388481666,0.176497052640853,0.47879414479100246,,,727969,0.17543358068166176,0.19671903295431026,0.11402517157180865
727970,0.16148369826936831,0.17669708426475356,0.478803955320229,,,727970,0.1754505785107173,0.19673977681801505,0.11402273910867715
727971,0.16157107228990705,0.1768965924126818,0.47881825410310586,,,727971,0.1754607324074829,0.19676941058927433,0.11402479554226769
727972,0.16167034764802724,0.17709884919297725,0.47883267828292797,,,727972,0.17547142915409064,0.1968014714741993,0.11402662598424951
727973,0.16177582841025057,0.17729711348145785,0.47884536402381106,,,727973,0.17548285096024402,0.196826687984857,0.1140264607008475
727974,0.16188897580964465,0.17748523255829052,0.4788619814187411,,,727974,0.1755045603057912,0.19685040155104375,0.114030890284844
727975,0.1620057728625072,0.1776686605582453,0.47887747522919877,,,727975,0.17551593318865685,0.19688020061609884,0.1140343428204789
727976,0.1621261431721451,0.17784077134547085,0.47889157389529274,,,727976,0.17552465013545093,0.1969062215473496,0.11403666082847719
727977,0.16225512426390798,0.17800660604752716,0.4789112648690521,,,727977,0.17553908627341092,0.19694212114632986,0.11404539692507365
727978,0.16238188313462326,0.1781621173964747,0.47892041000812396,,,727978,0.17556480588427126,0.19693914238226196,0.11404268686008155
