%time,field.frameNumber,field.x_m,field.y_m,field.z_m
,660367,0.4682980060422343,0.32708315313229575,0.0
,660368,0.46873618296814773,0.3275321883241958,0.0
,660369,0.46836336680042184,0.32737813811026933,0.0
,660370,0.4682184678998099,0.3271195390527303,0.0
,660371,0.4683193138454721,0.32708206310620824,0.0
,660372,0.4684290393815697,0.32723702550881795,0.0
,660373,0.46839384684151675,0.32719796376762444,0.0
,660374,0.46818203252679524,0.3271208690472086,0.0
,660375,0.468120319919701,0.32717467279441237,0.0
,660376,0.4678332975474969,0.3267965093352137,0.0
,660377,0.4684057995867253,0.32708830786476584,0.0
,660378,0.4684453354597247,0.3272998805492221,0.0
,660379,0.4679763803425806,0.32686186808491036,0.0
,660380,0.4682735611562685,0.3268731608429415,0.0
,660381,0.468275659583414,0.32711554958388317,0.0
,660382,0.46782170087826075,0.3269407280735299,0.0
,660383,0.46762078172666505,0.3264426996969032,0.0
,660384,0.4683276403231814,0.3267848425609125,0.0
,660385,0.46852815759718186,0.32721875187869137,0.0
,660386,0.46771978955668264,0.3267690688540373,0.0
,660387,0.4679367209999869,0.32660055104106156,0.0
,660388,0.46816152114781306,0.32679267320098404,0.0
,660389,0.46797937497200887,0.32674903079473455,0.0
,660390,0.4678425033604957,0.3266116263786874,0.0
,660391,0.46780311501288097,0.32653866442334983,0.0
,660392,0.4676980112970258,0.3263959955360979,0.0
,660393,0.46817237336263046,0.3266587114774812,0.0
,660394,0.46805661270982785,0.32679112018550394,0.0
,660395,0.4675951957977683,0.32663222743270864,0.0
,660396,0.46739437193789096,0.32616540319607024,0.0
,660397,0.46799722754599743,0.32647008190682025,0.0
,660398,0.46804370772888904,0.3268268497098538,0.0
,660399,0.4675491479118601,0.3264849161316533,0.0
,660400,0.4678326141174658,0.3263766123027977,0.0
,660401,0.46837252725004125,0.3269118563620966,0.0
,660402,0.467853817097647,0.3268407599364571,0.0
,660403,0.4671587132568634,0.3262581945713846,0.0
,660404,0.4675320695048275,0.3261199890947099,0.0
,660405,0.4678361034578993,0.3262594953649676,0.0
,660406,0.46820948669760154,0.3266484643081669,0.0
,660407,0.46804896070418955,0.326553507951894,0.0
,660408,0.46797383390477376,0.326507386650389,0.0
,660409,0.46782727432854737,0.32631022941638743,0.0
,660410,0.46769106588123927,0.32607289877882784,0.0
,660411,0.46861388371937507,0.32664680764794213,0.0
,660412,0.4685630839678419,0.3268881343328037,0.0
,660413,0.46790622758207007,0.32660813305558734,0.0
,660414,0.4678023753240037,0.3262297689707939,0.0
,660415,0.4682768950009383,0.32647119808470104,0.0
,660416,0.4687635328785751,0.32699677837884267,0.0
,660417,0.4683955885414786,0.3268284594054685,0.0
,660418,0.46839498858218914,0.32678657626645347,0.0
,660419,0.468237103191582,0.3266131417628907,0.0
,660420,0.4683052198161127,0.3264924648630164,0.0
,660421,0.4686555429804808,0.3267788078793125,0.0
,660422,0.468087530013739,0.32671834012718437,0.0
,660423,0.46760602407371704,0.32621307479465,0.0
,660424,0.46794058413211265,0.326092110769342,0.0
,660425,0.46857691153707337,0.3266686775104849,0.0
,660426,0.46842288468874393,0.32681807831491094,0.0
,660427,0.4678973289290232,0.3264215040631996,0.0
,660428,0.46817096880400416,0.3263629232953765,0.0
,660429,0.468264816407119,0.326468496481546,0.0
,660430,0.4679690695103055,0.32630088963104165,0.0
,660431,0.467752033486697,0.3261877492149258,0.0
,660432,0.4675991325956354,0.32619172524430307,0.0
,660433,0.46731031779540605,0.3258075181221127,0.0
,660434,0.4675117235742504,0.325701800842856,0.0
,660435,0.4678715017061069,0.32602275719528073,0.0
,660436,0.4673009929587374,0.3258064200480266,0.0
,660437,0.4672165255090154,0.3253929579617302,0.0
,660438,0.4677305901844161,0.3256382677663188,0.0
,660439,0.4678708031111549,0.3260247325283491,0.0
,660440,0.4669559611078311,0.3254934539465696,0.0
,660441,0.46706926666584325,0.32521325721040495,0.0
,660442,0.4672532056606946,0.32514453031920465,0.0
,660443,0.4675744051769053,0.3255308837092882,0.0
,660444,0.467544117911667,0.32554654343605594,0.0
,660445,0.46752149568083895,0.3255228383622805,0.0
,660446,0.46745058356005587,0.32558863929255544,0.0
,660447,0.46726048791162367,0.3253188394553461,0.0
,660448,0.4670326755648625,0.32489754508506874,0.0
,660449,0.4679403858921788,0.32541268829990816,0.0
,660450,0.4678436786794327,0.3256575199257069,0.0
,660451,0.4672219326859607,0.3254214733425305,0.0
,660452,0.46688027087355327,0.32490219398656506,0.0
,660453,0.46715663730487444,0.32478329419300694,0.0
,660454,0.46757390495835666,0.32523190463159496,0.0
,660455,0.46749136455678303,0.32532954558762894,0.0
,660456,0.46660427100067575,0.3248082527254804,0.0
,660457,0.4667211021025473,0.32472180574157794,0.0
,660458,0.46679028257789235,0.324652145616849,0.0
,660459,0.46708019199663015,0.32495795426500845,0.0
,660460,0.4669785815269334,0.3249470454878614,0.0
,660461,0.4669457129795407,0.32489484879145747,0.0
,660462,0.467017671819289,0.3249321531007609,0.0
,660463,0.4670282791482047,0.3249521505053997,0.0
,660464,0.46697494032663645,0.32490793561854486,0.0
,660465,0.4672932458474275,0.32510852132237167,0.0
,660466,0.46709259930247554,0.32514964190806106,0.0
,660467,0.46668016249178434,0.325083136825605,0.0
,660468,0.46620163074302956,0.32459103923509136,0.0
,660469,0.4663273071299905,0.3244578617804653,0.0
,660470,0.46719145549775937,0.3250970743241503,0.0
,660471,0.46718700202494423,0.3254304121442295,0.0
,660472,0.46644851337215787,0.32514701747007074,0.0
,660473,0.465863683885123,0.32479901433629144,0.0
,660474,0.46630487238358453,0.3248387144773552,0.0
,660475,0.46637391237352316,0.3247882553260069,0.0
,660476,0.46667201279004267,0.3251738880831422,0.0
,660477,0.4666553626400833,0.3252371271570674,0.0
,660478,0.46643864689499326,0.3251659874502791,0.0
,660479,0.4660512579677641,0.32523059154920897,0.0
,660480,0.46563919640262685,0.3248957767384757,0.0
,660481,0.46566502170492213,0.3245727107241552,0.0
,660482,0.46635064250565267,0.3250063318020457,0.0
,660483,0.4668300539509431,0.325653947973412,0.0
,660484,0.4661351987763653,0.32543302939726493,0.0
,660485,0.46545878582898564,0.32496911556026703,0.0
,660486,0.4657987447072922,0.3249286909604588,0.0
,660487,0.46583463486069954,0.3249081786985391,0.0
,660488,0.4660642040704978,0.3251574593032064,0.0
,660489,0.46631900682740646,0.32532776980164796,0.0
,660490,0.4662401011052518,0.3253977221524989,0.0
,660491,0.46583803482126224,0.3254210326255037,0.0
,660492,0.4655137610006486,0.3251492803755359,0.0
,660493,0.4651635957512969,0.3245862547920653,0.0
,660494,0.46551431566365514,0.3245064035173117,0.0
,660495,0.4662358870159921,0.32495565419766226,0.0
,660496,0.4665004141710666,0.3254578096809894,0.0
,660497,0.4657220808660091,0.32513881933493555,0.0
,660498,0.4655444950511404,0.324777851171207,0.0
,660499,0.46574764648059175,0.32474420972492607,0.0
,660500,0.4659199616476613,0.32493966309028266,0.0
,660501,0.4658661269972952,0.3249497791705641,0.0
,660502,0.46576157220509584,0.3248799152278384,0.0
,660503,0.4656805047242817,0.32486186775011017,0.0
,660504,0.4657349643056422,0.32492072339308525,0.0
,660505,0.4655848849357992,0.3247260730282876,0.0
,660506,0.46532851330867786,0.32449826006733534,0.0
,660507,0.4658679110557832,0.32479135777940166,0.0
,660508,0.46619800279020723,0.3250929912101815,0.0
,660509,0.46570567092622134,0.3251436793646179,0.0
,660510,0.46535694040535136,0.3249533956219589,0.0
,660511,0.4648181433737554,0.32430605500794707,0.0
,660512,0.464888010008632,0.32406460403539566,0.0
,660513,0.4656643619678209,0.32449094862407873,0.0
,660514,0.4662956793561019,0.3251507792361913,0.0
,660515,0.4662313559758545,0.32533907514337684,0.0
,660516,0.4653016655682299,0.32486851544609924,0.0
,660517,0.4648569487346511,0.32456574857503095,0.0
,660518,0.4649967572377848,0.32458724636796266,0.0
,660519,0.4649897912562497,0.32457549321731993,0.0
,660520,0.464680011115011,0.32420099115131906,0.0
,660521,0.46489943086692725,0.32418354326490645,0.0
,660522,0.46595965196775097,0.3248401006519642,0.0
,660523,0.46605743178730413,0.32519515866628795,0.0
,660524,0.46545359867929176,0.3251646829188368,0.0
,660525,0.46472163514720755,0.32466851420702664,0.0
,660526,0.46464905296197345,0.32430152795958833,0.0
,660527,0.4649835098328964,0.324232233933013,0.0
,660528,0.46519273022152896,0.32448665344380534,0.0
,660529,0.46563500796054935,0.32493851109124056,0.0
,660530,0.465702924153093,0.3250400443058109,0.0
,660531,0.46575777907715044,0.32507455351710624,0.0
,660532,0.4657909227231108,0.3250963843561048,0.0
,660533,0.46574910408719317,0.3250708994664061,0.0
,660534,0.4653761050391932,0.324712067353612,0.0
,660535,0.4653917560749468,0.3245286806126817,0.0
,660536,0.4661389387479405,0.32495013495483277,0.0
,660537,0.46670593826245443,0.3256243811277375,0.0
,660538,0.46647474689613544,0.3256911249199749,0.0
,660539,0.46571296881225155,0.3252110955364932,0.0
,660540,0.4656884516292267,0.32515319850633506,0.0
,660541,0.465689133397317,0.32523467389817845,0.0
,660542,0.4656299254630422,0.3251705781811558,0.0
,660543,0.4652288707141408,0.3246626039541801,0.0
,660544,0.46480740586724334,0.32404468663759395,0.0
,660545,0.4651545745036265,0.32395357705964417,0.0
,660546,0.4657744202074266,0.32430300451819233,0.0
,660547,0.46639049688702183,0.32498063415197603,0.0
,660548,0.46673758463253046,0.32547808838537057,0.0
,660549,0.4659591722258344,0.3250877359015095,0.0
,660550,0.46552032721029885,0.32478913595194026,0.0
,660551,0.46550850923609355,0.32475142829026715,0.0
,660552,0.46535760281940475,0.324791966389157,0.0
,660553,0.4653901515171971,0.3248633276374949,0.0
,660554,0.46505004888185997,0.3244545272754582,0.0
,660555,0.46485238308205,0.32399676769093366,0.0
,660556,0.46530938007516287,0.3238838729958661,0.0
,660557,0.4655759956206914,0.32383799537926394,0.0
,660558,0.4655590014281201,0.32382983639973634,0.0
,660559,0.4651372318993565,0.3234310052590473,0.0
,660560,0.46529856365926675,0.3233757490158653,0.0
,660561,0.4662211324480686,0.3239217691438298,0.0
,660562,0.4669584760281631,0.3246363898757515,0.0
,660563,0.4675500782858951,0.32530287657254686,0.0
,660564,0.46770929598706124,0.3255367697620566,0.0
,660565,0.46802685134149763,0.32574660307243575,0.0
,660566,0.4687056639391051,0.32619639499656417,0.0
,660567,0.46883472685292127,0.3264560881184301,0.0
,660568,0.46836368474714957,0.32651752422190783,0.0
,660569,0.46770285386457244,0.32628561293764646,0.0
,660570,0.4668455701138293,0.32567733591116876,0.0
,660571,0.4667006975041835,0.3254430614091749,0.0
,660572,0.46707108212620146,0.3253782882565935,0.0
