%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209575630660071,667230,0,0,0.527141484851101,0.19687566913271853,0.4696279446533492
1690209575630676820,667230,1,0,0.6496688117647301,0.19926131922605175,0.47262167205391187
1690209575630682650,667230,2,0,0.6531689318513861,0.02739740014164279,0.4855368868135018
1690209575630686960,667230,3,0,0.5311864023420043,0.025157028575604784,0.4827940270519058
1690209575630707784,667230,4,0,0.5923761913950832,0.03252649437757634,0.48399420199529675
1690209575630718360,667230,5,0,0.5882354804008169,0.19093722615930475,0.4726719441737613
1690209575630727596,667230,6,0,0.6001795599219011,0.10452739371602601,0.11253454980865317
1690209575630739898,667230,7,0,0.6011001369712299,0.0681066995603359,0.11499672707482812
1690209575630999435,667230,8,0,0.6105139848762438,0.08290224295151379,0.07200018026090418
1690209575639263885,667231,0,0,0.527155981941265,0.19694842339540244,0.4696126589058162
1690209575639278476,667231,1,0,0.6496842750334795,0.19926205422932589,0.47262331913054645
1690209575639284685,667231,2,0,0.6530813276825002,0.027396866757402705,0.4855491716943078
1690209575639345970,667231,3,0,0.531097882548498,0.025228208254995877,0.4827894464411836
1690209575639363410,667231,4,0,0.592291835505077,0.03256168932603913,0.4839977127156865
1690209575639372233,667231,5,0,0.5882460431128149,0.1909741635151969,0.4726655223481448
1690209575639426880,667231,6,0,0.6001893764330222,0.1045360093451957,0.11253489980757769
1690209575639455351,667231,7,0,0.601088150100058,0.06811492476800075,0.11499935631812835
1690209575639469950,667231,8,0,0.6105167041939276,0.0829023758202472,0.07200324796379806
1690209575647444889,667232,0,0,0.5271675336455471,0.1970189443918139,0.46959520052254894
1690209575647460745,667232,1,0,0.6496967509142221,0.19926358847312134,0.47262043756948
1690209575647470534,667232,2,0,0.6529951656121628,0.027397477693604386,0.4855595535347544
1690209575647477247,667232,3,0,0.5310108479048868,0.025297516941195725,0.48278530620230214
1690209575647486391,667232,4,0,0.5922087877379889,0.03259652104404322,0.4840003904595018
1690209575647502054,667232,5,0,0.5882538425599015,0.19101040647983722,0.4726558647703645
1690209575647523322,667232,6,0,0.6001916844864345,0.10453855966256209,0.11253314869052918
1690209575647587316,667232,7,0,0.6010695881675324,0.06811715780912168,0.11500043747238294
1690209575647602760,667232,8,0,0.6105116677481338,0.08289606181273028,0.07200435853270955
1690209575655807073,667233,0,0,0.5271760322146535,0.19709037082828018,0.4695753957074672
1690209575655834629,667233,1,0,0.64970608535421,0.19926886029543925,0.47261510489996555
1690209575655847048,667233,2,0,0.6529098982519851,0.027401799539193618,0.48556536767276803
1690209575655856813,667233,3,0,0.5309247930062385,0.025367714062640545,0.48277670412348517
1690209575655895603,667233,4,0,0.5921265306850294,0.0326336574031277,0.48399863003398935
1690209575655907476,667233,5,0,0.5882587134512177,0.19104895016960494,0.4726437209240405
1690209575655941795,667233,6,0,0.6001926678864506,0.10454809650386784,0.11252784228883309
1690209575656031100,667233,7,0,0.601050556537099,0.06812637925359499,0.11499751461130975
1690209575656158876,667233,8,0,0.6105057630322067,0.08289747560786413,0.07200163740001551
1690209575664103421,667234,0,0,0.5271869162341534,0.1971606387921936,0.46955774500456837
1690209575664116902,667234,1,0,0.6497177460016221,0.1992752384487988,0.4726112340751095
1690209575664122573,667234,2,0,0.6528301092318214,0.02740761101706279,0.48557626905650886
1690209575664128203,667234,3,0,0.5308442742807435,0.02543715111008423,0.48277387561940815
1690209575664270318,667234,4,0,0.5920496677805267,0.032671156816423616,0.48400216648024824
1690209575664282378,667234,5,0,0.5882660764553722,0.19108749958564622,0.47263353711490913
1690209575664305003,667234,6,0,0.6001957652065728,0.10455020140806497,0.11252627316568689
1690209575664339578,667234,7,0,0.6010343052972651,0.06812824734664323,0.1149990963781563
1690209575664379739,667234,8,0,0.6105021408196816,0.08289078500389015,0.07200305880514549
1690209575672744683,667235,0,0,0.5271947580726185,0.1972268313013763,0.469540245431489
1690209575672763534,667235,1,0,0.6497261617389863,0.1992846680544215,0.47260944633131136
1690209575672771177,667235,2,0,0.6527568608389388,0.027416710076242693,0.4855894378311598
1690209575672816111,667235,3,0,0.5307704864498795,0.025502780712744155,0.4827713910365375
1690209575672830765,667235,4,0,0.5919790800834915,0.03270840691825839,0.4840070070137721
1690209575672848138,667235,5,0,0.5882706861051347,0.19112552937728133,0.472624473058528
1690209575672901046,667235,6,0,0.6002067890072932,0.1045521751237667,0.11252608819770205
1690209575672909766,667235,7,0,0.6010280585415917,0.0681300444483447,0.11500210418930172
1690209575672916234,667235,8,0,0.6105083374968752,0.08288453114674801,0.0720060449775836
1690209575680954202,667236,0,0,0.5271986788847971,0.19728662767546434,0.46952482751396174
1690209575680982954,667236,1,0,0.6497304882797539,0.1992979320499317,0.47260864200696967
1690209575681000545,667236,2,0,0.6526940317837265,0.027429800408497455,0.48560183376043425
1690209575681018679,667236,3,0,0.5307072762814401,0.02556221418134143,0.48276922830919616
