%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209833824580193,698213,0,0,-0.011115272258646612,0.40139712694903307,0.4819141688142171
1690209833824586298,698213,1,0,0.11014124058729985,0.38353298113486856,0.47960549874529657
1690209833824602724,698213,2,0,0.08542078011222382,0.2129658163800081,0.4761411896730455
1690209833824620891,698213,3,0,-0.035267359410955115,0.23085894811474417,0.47868851475830365
1690209833824675456,698213,4,0,0.026305339066933654,0.22803171233182648,0.4778229106685244
1690209833824682853,698213,5,0,0.048206048477994916,0.38533752396743504,0.4816359811232546
1690209833824687796,698213,6,0,0.03522833534187619,0.3346264739330738,0.11480055294770326
1690209833824713877,698213,7,0,0.03015802933214848,0.2984790314720192,0.11378510119178205
1690209833824746240,698213,8,0,0.040652803572565975,0.31577741782151253,0.07198968017599071
1690209833833053642,698214,0,0,-0.011053694821487334,0.4013498195379436,0.48193013052213657
1690209833833081383,698214,1,0,0.11020712719812548,0.38351817982328207,0.479596626948039
1690209833833092330,698214,2,0,0.08553143106963967,0.2129447524043765,0.47612154779763305
1690209833833113902,698214,3,0,-0.035160979690175544,0.23080550774214406,0.47869360022348806
1690209833833124292,698214,4,0,0.026412302729778573,0.2279947500852087,0.47781595343348443
1690209833833147185,698214,5,0,0.048271846534553985,0.38530604221284176,0.4816391284385885
1690209833833192305,698214,6,0,0.03523741402917825,0.33462485872199516,0.11480158373003382
1690209833833204861,698214,7,0,0.030176540846623315,0.298476159494676,0.1137838172641628
1690209833833209845,698214,8,0,0.04065870637294368,0.31578113679266506,0.07198796051811888
1690209833842688929,698215,0,0,-0.010989892350312282,0.4013005440049122,0.48194675604928283
1690209833842741725,698215,1,0,0.11027534687850443,0.38350253671373186,0.47958619214271814
1690209833842759870,698215,2,0,0.08564594704983941,0.21292260768853544,0.4761018308241524
1690209833842770932,698215,3,0,-0.035050838718788994,0.23074986708476125,0.4787008262982552
1690209833842782736,698215,4,0,0.026523030000333767,0.22795616082484257,0.4778099689836507
1690209833842857510,698215,5,0,0.048340007381846954,0.3852731491171635,0.4816418935531537
1690209833842867359,698215,6,0,0.035242256490321006,0.334619495215266,0.11480280176147832
1690209833842925096,698215,7,0,0.030191135348925067,0.2984694884653958,0.11378303268201873
1690209833842932246,698215,8,0,0.04065972296623,0.3157809009824653,0.07198643779076502
1690209833851673217,698216,0,0,-0.0109220321744368,0.40125499126308517,0.48196179579687026
1690209833851696982,698216,1,0,0.11034771738918135,0.38349127637023583,0.47957477994042286
1690209833851712309,698216,2,0,0.08576558619429671,0.21290468206446247,0.47608293729869694
1690209833851754663,698216,3,0,-0.03493566874078744,0.23069779141366797,0.47870826903315455
1690209833851765522,698216,4,0,0.026638797479961576,0.227921474572296,0.4778044411249704
1690209833851775239,698216,5,0,0.04841230974178874,0.3852443118133325,0.4816434513558053
1690209833851924770,698216,6,0,0.03525275555451067,0.3346140228547432,0.11480334589821936
1690209833851935190,698216,7,0,0.030211593437576394,0.2984626717064318,0.1137819564336082
1690209833852039573,698216,8,0,0.04066664472893697,0.3157801105459237,0.07198446979773024
1690209833858397733,698217,0,0,-0.01085440865644332,0.40120643008288687,0.4819797102821831
1690209833858412405,698217,1,0,0.11042022678273397,0.3834799776510288,0.4795640832431398
1690209833858419482,698217,2,0,0.08588942440036766,0.2128862024784035,0.47606209769367563
1690209833858457845,698217,3,0,-0.034816672391529184,0.23064220122246182,0.4787159167905886
1690209833858467735,698217,4,0,0.026758436285098816,0.22788477581668679,0.477798133017309
1690209833858474316,698217,5,0,0.04848474849551787,0.3852139049224627,0.48164669715105296
1690209833858488560,698217,6,0,0.03525901890752561,0.33461314929331526,0.11480489663590507
1690209833858494578,698217,7,0,0.030228671950368123,0.29846035351589617,0.11378132018884207
1690209833858530335,698217,8,0,0.04066913093113195,0.3157848078093288,0.07198309326177406
1690209833866936879,698218,0,0,-0.010777407848917953,0.40116789394007746,0.48199593445975814
1690209833866955390,698218,1,0,0.1105011194378655,0.38347213612730674,0.47955082806192617
1690209833866983971,698218,2,0,0.0860124699866652,0.21287239492742988,0.47604445578407806
1690209833867000487,698218,3,0,-0.034697470294681926,0.2305978281342063,0.4787276227260744
1690209833867009543,698218,4,0,0.02687811419170166,0.22785596885850634,0.4777952422597668
1690209833867017391,698218,5,0,0.04856569622756514,0.38519033737555836,0.4816480622810269
1690209833867055537,698218,6,0,0.03526672246941499,0.33460802786760635,0.11480636582274173
1690209833867067096,698218,7,0,0.03024524272206406,0.2984540268530009,0.11378182028495729
1690209833867075072,698218,8,0,0.04067153917034842,0.31578359184275173,0.07198217681543219
1690209833874963785,698219,0,0,-0.0107007887061771,0.4011291775449375,0.4820135844182535
1690209833874983041,698219,1,0,0.11058170663165873,0.38346470410779593,0.47953926157505133
1690209833875009259,698219,2,0,0.08613601109654823,0.2128589337842447,0.47602651363761256
1690209833875028959,698219,3,0,-0.03457784997576703,0.2305532117102098,0.4787387679813987
1690209833875111868,698219,4,0,0.02699821912810235,0.22782721416724502,0.4777919936826811
1690209833875121018,698219,5,0,0.048646330068319726,0.3851668693236527,0.48165090043470454
