%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209518439130710,660367,0,0,0.4065476000908118,0.39260335801663193,0.48317874544194966
1690209518439148302,660367,1,0,0.5283298794235101,0.3785836261913623,0.48352964542229915
1690209518439170175,660367,2,0,0.5091240809365695,0.20745324538387377,0.47566896064789177
1690209518439178328,660367,3,0,0.3879029580556109,0.2215141815566062,0.4755715370429095
1690209518439186986,660367,4,0,0.4495370823788361,0.22062739462713124,0.47619448030869765
1690209518439211801,660367,5,0,0.4663374792602215,0.37841049466312005,0.484039157548658
1690209518439216184,660367,6,0,0.4639570761631758,0.33573999233188456,0.11596059947923373
1690209518439224383,660367,7,0,0.46006221382096013,0.2994848890822248,0.11401784950359496
1690209518439238467,660367,8,0,0.4710228543380627,0.31805517739151506,0.0728931558742729
1690209518446909943,660368,0,0,0.4067086244022344,0.3924830628196005,0.4832217336940254
1690209518446932573,660368,1,0,0.5284933104831857,0.37848302910411213,0.4835198324114734
1690209518446949664,660368,2,0,0.5093121465406881,0.20735167677649627,0.47562024404928266
1690209518446968095,660368,3,0,0.3880887121264502,0.22139293699085494,0.475575407205891
1690209518446977443,660368,4,0,0.4497232252577588,0.2205159976612913,0.47617331935684626
1690209518446990572,660368,5,0,0.46650114922224284,0.3782996833051852,0.4840542308148523
1690209518446995282,660368,6,0,0.4639796183240434,0.33572906522726376,0.11596504684313584
1690209518447014605,660368,7,0,0.4600898633685586,0.2994738600069009,0.11401398492925449
1690209518447062020,660368,8,0,0.4710309444193787,0.3180571316464677,0.07288994773504918
1690209518455775729,660369,0,0,0.4068765486707447,0.39235914379952463,0.4832668797506649
1690209518455817071,660369,1,0,0.5286628595283958,0.37837222397214,0.48351209831018366
1690209518455826974,660369,2,0,0.5094970575889474,0.2072410858815255,0.47557069366185467
1690209518455835153,660369,3,0,0.38827209544015695,0.22126921977900482,0.47557852383664406
1690209518455856556,660369,4,0,0.44990693795259384,0.22039878770462962,0.4761514696739224
1690209518455947210,660369,5,0,0.46667093775037777,0.3781820046792078,0.4840712995503236
1690209518456013912,660369,6,0,0.46400641808216014,0.33571758690093534,0.11597085598055432
1690209518456029791,660369,7,0,0.4601198063765187,0.29946252617910135,0.1140108653474527
1690209518456041484,660369,8,0,0.47104238442448154,0.3180588780893106,0.07288782242795645
1690209518463540657,660370,0,0,0.40704253517636846,0.3922340986855506,0.4833054655272673
1690209518463564220,660370,1,0,0.5288302902517443,0.37825890620986985,0.48349593779294026
1690209518463571191,660370,2,0,0.5096777245494208,0.20712810636496315,0.4755154072704565
1690209518463577156,660370,3,0,0.38845141989886234,0.22114449758313048,0.47557776047529304
1690209518463595956,660370,4,0,0.450086580382203,0.22027987672983732,0.4761247096816619
1690209518463611468,660370,5,0,0.4668386262786864,0.3780625293687149,0.48408099259892334
1690209518463655261,660370,6,0,0.46402437775189115,0.3356992295698105,0.11597001227648218
1690209518463666616,660370,7,0,0.46014045420060945,0.29944433377532054,0.11400166003295163
1690209518463738512,660370,8,0,0.4710440462824908,0.318053067894097,0.07287917994298698
1690209518471992902,660371,0,0,0.40721715375757456,0.39211488981363585,0.48334975510335343
1690209518472004521,660371,1,0,0.5290048729829724,0.3781387450905632,0.4834853842721789
1690209518472009693,660371,2,0,0.5098476921387811,0.20701035996366393,0.47546425455609825
1690209518472014559,660371,3,0,0.3886215292098376,0.22102762748174204,0.4755812279923498
1690209518472113116,660371,4,0,0.4502569063058153,0.22016239650052472,0.4761021848497106
1690209518472130863,660371,5,0,0.4670134573403409,0.37794265956073525,0.484096278883194
1690209518472143051,660371,6,0,0.46404512195402114,0.33568392609750547,0.11597449002835188
1690209518472152583,660371,7,0,0.46016010467072743,0.29942961944087043,0.11399746414806675
1690209518472170223,660371,8,0,0.4710466574072447,0.3180499511693872,0.07287571940910971
1690209518480084404,660372,0,0,0.4073940042277812,0.3920001363028809,0.4833871896684688
1690209518480114156,660372,1,0,0.529180473158844,0.37801270216998023,0.48347229194286856
1690209518480134712,660372,2,0,0.5100043900592587,0.20688830277193715,0.47541139474860716
1690209518480147169,660372,3,0,0.3887795779970486,0.22091673826322902,0.47557869113650403
1690209518480155145,660372,4,0,0.4504150699289564,0.22004566904143363,0.4760757858800142
1690209518480192125,660372,5,0,0.46718927832680845,0.3778221761872565,0.4841068928290964
1690209518480230053,660372,6,0,0.46407594832429894,0.3356650743842875,0.11597464900571089
1690209518480242712,660372,7,0,0.460186820064659,0.29941167255329737,0.1139891317338209
1690209518480309762,660372,8,0,0.47105933409275774,0.3180423197483659,0.07286834503970965
1690209518488555711,660373,0,0,0.4075717680027657,0.3918865705571598,0.483432196067382
1690209518488569067,660373,1,0,0.529357035591328,0.37788845669164733,0.4834634579681923
1690209518488578587,660373,2,0,0.5101626520622033,0.20676796156461535,0.4753633293040356
1690209518488606927,660373,3,0,0.38893914848247585,0.22080695815481527,0.47558424677519723
1690209518488621286,660373,4,0,0.45057476269737773,0.21993035872614355,0.4760558019203323
1690209518488635098,660373,5,0,0.46736608999746526,0.3777031805343172,0.48412345210645785
1690209518488666460,660373,6,0,0.46409796671978604,0.33564769831042157,0.1159809270109069
1690209518488676333,660373,7,0,0.4602048474081104,0.29939518491425815,0.1139870272485835
1690209518488694335,660373,8,0,0.4710621148301716,0.3180362003302158,0.07286691096799888
1690209518497217722,660374,0,0,0.40775634976464403,0.39177963441524477,0.4834777529440895
1690209518497237037,660374,1,0,0.5295392203164144,0.37776066853497614,0.4834531250203202
1690209518497245707,660374,2,0,0.5103120782904746,0.2066457733452707,0.47531248931479547
1690209518497253044,660374,3,0,0.38909108616122934,0.22070545402925743,0.4755890687765779
1690209518497387817,660374,4,0,0.4507267446979689,0.219818171334595,0.476034104307351
1690209518497401271,660374,5,0,0.46754853079658626,0.3775858144748188,0.48413948793611383
1690209518497415745,660374,6,0,0.4641163142659122,0.33563566871615264,0.11598643802468885
1690209518497424729,660374,7,0,0.4602161365126227,0.29938439110909404,0.11398388287567061
1690209518497507584,660374,8,0,0.4710590714322944,0.3180352501907279,0.07286444839043332
1690209518505393849,660375,0,0,0.4079410610584896,0.39167940939437257,0.4835228213650437
1690209518505401742,660375,1,0,0.5297207977736831,0.3776334226061397,0.4834483133856772
1690209518505432551,660375,2,0,0.5104525774226356,0.2065249568983582,0.4752697472771189
1690209518505449523,660375,3,0,0.389234823631145,0.22061146717991204,0.47559600448568734
1690209518505457293,660375,4,0,0.45087044792230646,0.21971038759044254,0.47601743570626615
1690209518505484609,660375,5,0,0.46773033561333166,0.37747214520309524,0.4841581344078944
1690209518505501032,660375,6,0,0.4641492375702818,0.33562008841503954,0.11599533878890964
1690209518505511594,660375,7,0,0.4602402518512021,0.2993702079597344,0.11398468232888041
1690209518505578595,660375,8,0,0.4710717384971322,0.31802952978085297,0.072866069989018
1690209518513815367,660376,0,0,0.4081309381319918,0.3915828159770074,0.48356605640190936
1690209518513832241,660376,1,0,0.5299067200369535,0.377502986510743,0.48343600121303715
1690209518513840092,660376,2,0,0.5105874313030042,0.2064021531025019,0.47521832600777014
1690209518513857725,660376,3,0,0.38937375030949856,0.22052228018438483,0.47559990316777806
1690209518513868472,660376,4,0,0.451009294755891,0.21960394459737195,0.47599493608775884
1690209518513895711,660376,5,0,0.46791652207631984,0.37735875111159584,0.48417207735676016
1690209518513907182,660376,6,0,0.464167614714977,0.3356094763689542,0.11599928266569316
1690209518513917133,660376,7,0,0.4602476920500157,0.2993612415763544,0.11398026743607675
1690209518513993106,660376,8,0,0.4710669266240386,0.31802891768805197,0.07286222144211024
1690209518521914327,660377,0,0,0.40832644154825365,0.39149267959413553,0.48360348358348954
1690209518521928447,660377,1,0,0.5300972171759076,0.37737019550343964,0.48342122864222903
1690209518521934231,660377,2,0,0.51071465117048,0.20627821458107717,0.47516832036291234
1690209518521939944,660377,3,0,0.3895060909984301,0.22044073605937217,0.47560188273247994
1690209518521945372,660377,4,0,0.4511414625521831,0.21950069493860633,0.4759720537517974
1690209518522054753,660377,5,0,0.4681072714899087,0.37724750593979334,0.4841820415339097
1690209518522077513,660377,6,0,0.46419662535768746,0.3355920298901857,0.11600030494112315
1690209518522093157,660377,7,0,0.4602631860824136,0.29934567975311555,0.11397375640116954
1690209518522113045,660377,8,0,0.4710725366539965,0.3180198898014027,0.07285607779653537
1690209518530089497,660378,0,0,0.40851788390351196,0.39140897094546967,0.4836390879579721
1690209518530112715,660378,1,0,0.5302832251795635,0.3772404656681899,0.4834052229318662
1690209518530119311,660378,2,0,0.5108326539715057,0.2061578203383188,0.47511884600504267
1690209518530126653,660378,3,0,0.38962964269676936,0.2203660898388298,0.4756038054568532
1690209518530207781,660378,4,0,0.4512647958292111,0.21940264278586358,0.4759493464501444
1690209518530231611,660378,5,0,0.4682935435299431,0.3771410441343797,0.4841905505549653
1690209518530313965,660378,6,0,0.46422139107831645,0.3355756464754109,0.11600038462106455
1690209518530334234,660378,7,0,0.46027343456710984,0.29933127566418,0.11396667725279451
1690209518530359192,660378,8,0,0.47107357343511147,0.31801128866652173,0.07284921394089815
1690209518538196370,660379,0,0,0.4087141479685119,0.3913319738276809,0.4836774725675283
1690209518538213134,660379,1,0,0.5304728783754311,0.37710765600309026,0.4833947662955172
1690209518538221245,660379,2,0,0.510940707301492,0.20603598879949708,0.4750737525783648
1690209518538232940,660379,3,0,0.389744418582132,0.22029975130090082,0.47560735344978966
1690209518538299060,660379,4,0,0.45137924750117725,0.21930793856710343,0.4759296919094224
1690209518538393700,660379,5,0,0.4684834544688365,0.37703648591015504,0.48420316822813275
1690209518538409659,660379,6,0,0.4642550723131218,0.3355631675194248,0.11600438001098332
1690209518538423068,660379,7,0,0.46028972495848197,0.2993211113729388,0.1139632704087932
1690209518538431164,660379,8,0,0.4710831182707839,0.31800623984543586,0.07284636014898456
1690209518546197964,660380,0,0,0.4089101527255824,0.39125737010445255,0.48371342879386303
1690209518546211526,660380,1,0,0.5306620927244254,0.3769761384936523,0.4833801107582863
1690209518546217525,660380,2,0,0.5110466191921761,0.20591558167410692,0.4750267045876079
1690209518546233883,660380,3,0,0.3898572366529961,0.22023593606023772,0.47561070797871263
1690209518546374373,660380,4,0,0.45149171507772085,0.21921520359845573,0.47590887741889076
1690209518546386213,660380,5,0,0.4686729608394822,0.3769337897641765,0.48421257089216624
1690209518546403183,660380,6,0,0.46428220903412704,0.3355485699940111,0.11600577046375245
1690209518546422295,660380,7,0,0.46029910572236904,0.2993088519233382,0.11395773141574944
1690209518546431644,660380,8,0,0.47108527905471653,0.31799854303745767,0.0728410002051549
1690209518554848381,660381,0,0,0.4091069287473658,0.3911856086675481,0.48374912293990163
1690209518554865015,660381,1,0,0.5308515508429242,0.3768434214672053,0.48336411925676465
1690209518554872369,660381,2,0,0.5111469941945225,0.20579467234247978,0.4749786457390522
1690209518554899013,660381,3,0,0.3899650485988749,0.2201756418336491,0.47561412042812545
1690209518554915001,660381,4,0,0.4515991210124663,0.21912394199031554,0.47588757173486373
1690209518554921741,660381,5,0,0.4688627409460381,0.3768319543976377,0.48422119055618845
1690209518554928284,660381,6,0,0.4643050363728894,0.33553481206504193,0.11600652984486348
1690209518554964057,660381,7,0,0.46030294996570276,0.29929757393028855,0.11395162874487648
1690209518555021054,660381,8,0,0.4710821660350276,0.31799144385340405,0.07283497271876752
1690209518563581462,660382,0,0,0.4093090299332494,0.3911253253496344,0.48378510340783554
1690209518563618801,660382,1,0,0.5310453265014412,0.37671403618933885,0.48335103738101454
1690209518563628830,660382,2,0,0.5112403898715249,0.20567836994694952,0.4749352394945029
1690209518563649416,660382,3,0,0.39006688611052237,0.22012806627429637,0.4756195729385866
1690209518563659016,660382,4,0,0.4517004494578566,0.21904127844620472,0.4758695565146793
1690209518563672447,660382,5,0,0.4690568475041977,0.3767376091364091,0.48423147537584554
1690209518563822317,660382,6,0,0.4643369027328979,0.3355244154063634,0.11600945297292546
1690209518563842371,660382,7,0,0.4603134455336321,0.29928991246172304,0.1139480625934328
1690209518563852291,660382,8,0,0.47108778921395317,0.3179867369031347,0.07283147289284755
1690209518571956051,660383,0,0,0.4095104578551967,0.391070642138711,0.4838247637895319
1690209518571973862,660383,1,0,0.5312380799568481,0.37658776207440836,0.48334333545986047
1690209518571986527,660383,2,0,0.5113293615915077,0.2055657083418589,0.4748958289573408
1690209518571997417,660383,3,0,0.39016464538395224,0.2200866071806201,0.4756273295998118
1690209518572006248,660383,4,0,0.45179764438152586,0.2189634656485084,0.47585474579403947
1690209518572012304,660383,5,0,0.4692499483868868,0.37664764073264767,0.48424622756289487
1690209518572050793,660383,6,0,0.46437242969667303,0.33552102154298735,0.11601657910418353
1690209518572058216,660383,7,0,0.46032688512250336,0.299289364358033,0.11394840877597287
