%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209799267030142,694066,0,0,0.029788071411826152,0.4062971759445317,0.4804203280201758
1690209799267054707,694066,1,0,0.15101686228550829,0.388101423203625,0.48011305580718683
1690209799267068118,694066,2,0,0.12589049490278453,0.2175697469159944,0.4781449753619891
1690209799267079146,694066,3,0,0.005226543388864812,0.23579565981611098,0.4786990095998278
1690209799267111626,694066,4,0,0.0667974534125143,0.23280300563554127,0.4787814127346943
1690209799267150702,694066,5,0,0.08906342610313848,0.3900851422072937,0.48120110876995575
1690209799267163389,694066,6,0,0.08140292454865464,0.33538751817524665,0.11478911437054544
1690209799267170548,694066,7,0,0.07625075834415591,0.2992440847393449,0.11409330933901692
1690209799267176171,694066,8,0,0.08741224672003162,0.3160564426601932,0.07227229221942263
1690209799275211980,694067,0,0,0.029948828920233803,0.40634456078976183,0.4804297398651346
1690209799275225035,694067,1,0,0.15116989683752888,0.38809809727946437,0.4800850181310417
1690209799275229622,694067,2,0,0.12597160081989128,0.21757681192947478,0.4781363220658366
1690209799275235165,694067,3,0,0.005315463500400255,0.23585321582898996,0.47872762365962324
1690209799275278274,694067,4,0,0.06688513997451584,0.23283482145618564,0.47879058987609785
1690209799275286723,694067,5,0,0.08921764571118738,0.39010779440818383,0.4811926972216672
1690209799275297689,694067,6,0,0.08141740660233772,0.33538899544019246,0.11478681256925569
1690209799275357334,694067,7,0,0.0762499065330061,0.2992476733254293,0.11409506073042314
1690209799275434498,694067,8,0,0.08740508420979909,0.31605257954811805,0.07226936513086696
1690209799283999580,694068,0,0,0.030106421124081493,0.40640239967320657,0.48043805344458995
1690209799284031217,694068,1,0,0.15131954603436815,0.38810390078331475,0.48006008707584297
1690209799284044869,694068,2,0,0.12604753504868135,0.2175933085869391,0.4781303965461957
1690209799284059175,694068,3,0,0.005399423714144618,0.2359215225431717,0.4787547798553078
1690209799284125011,694068,4,0,0.06696781488792324,0.23287671465705675,0.47880042709716386
1690209799284141059,694068,5,0,0.08936848077812282,0.39014025675750963,0.4811852639957374
1690209799284155709,694068,6,0,0.08144044139728117,0.33539943139058714,0.11478541242877113
1690209799284202237,694068,7,0,0.07625723834321194,0.2992602820341994,0.11409763944796382
1690209799284218271,694068,8,0,0.0874077161237009,0.31605750324952525,0.07226760383656193
1690209799291700231,694069,0,0,0.030256627444037308,0.40647194756401916,0.48044405976841154
1690209799291717699,694069,1,0,0.15146125210216804,0.3881178370438107,0.4800376619218863
1690209799291727680,694069,2,0,0.12611059069276806,0.21761864136738035,0.47813279033674577
1690209799291746406,694069,3,0,0.00547105499837096,0.23600223458317005,0.47878546012275264
1690209799291761366,694069,4,0,0.06703805334479089,0.23292920463281655,0.47881598875869086
1690209799291768755,694069,5,0,0.08951141124455221,0.39018271738305416,0.48117816270617003
1690209799291777774,694069,6,0,0.08146632316273406,0.33540586942912526,0.11478624619523115
1690209799291823532,694069,7,0,0.07626638042605163,0.29926902598008726,0.11410369007952895
1690209799291872451,694069,8,0,0.08741405932468208,0.31605660498079374,0.07226903792358308
1690209799300944394,694070,0,0,0.03039823263470337,0.40654961206060003,0.4804439413138421
1690209799300960191,694070,1,0,0.1515949379352335,0.3881438994850236,0.4800104213053509
1690209799300964130,694070,2,0,0.12617130489346048,0.21765524956195445,0.47813440789227135
1690209799300968179,694070,3,0,0.005539761109436554,0.2360902372169619,0.47881405807858124
1690209799301093321,694070,4,0,0.06710545260483047,0.23299102639901748,0.47882997854890647
1690209799301121537,694070,5,0,0.0896462609212615,0.390235279234235,0.48116575766392417
1690209799301180435,694070,6,0,0.08148849067228615,0.3354131697041468,0.1147831023842196
1690209799301203739,694070,7,0,0.07627301375080389,0.2992784507417705,0.11410662047928213
1690209799301218638,694070,8,0,0.0874176244526804,0.31605572754789213,0.07226701830842837
1690209799308816352,694071,0,0,0.030536189983956134,0.4066377840420706,0.48043986043422093
1690209799308836068,694071,1,0,0.15172471308572913,0.38817887010918717,0.47998167319577695
1690209799308843152,694071,2,0,0.12622591846473377,0.21770108027083415,0.47813913671954306
1690209799308881659,694071,3,0,0.0056026258239621,0.2361890614412291,0.47884332041346556
1690209799308898300,694071,4,0,0.0671669548445712,0.23306286294120138,0.4788456957174677
1690209799308916745,694071,5,0,0.0897772241387575,0.39029759556697446,0.4811508056680077
1690209799308963443,694071,6,0,0.08151179424485398,0.3354196297676074,0.11477892555578703
1690209799308976556,694071,7,0,0.0762803233078809,0.29928709148925076,0.11410949955178352
1690209799308986146,694071,8,0,0.08742273716512136,0.31605269294429295,0.07226463253292952
1690209799319280409,694072,0,0,0.0306661492150333,0.40673207980059806,0.48043761898214216
1690209799319289928,694072,1,0,0.15184691961998123,0.38822294630487914,0.47995550694433997
1690209799319297694,694072,2,0,0.12627718428303886,0.21775541422591146,0.47814734830515615
1690209799319397262,694072,3,0,0.0056617111898299155,0.2362934224568473,0.47887532582133036
1690209799319413334,694072,4,0,0.06722474052484687,0.23314175111372315,0.4788644952058436
1690209799319421917,694072,5,0,0.08990057496379557,0.39036750029523093,0.48113810030547427
1690209799319463227,694072,6,0,0.0815306956892957,0.33543133597611086,0.11477731369014353
1690209799319473642,694072,7,0,0.07628412671466417,0.2993008533367481,0.11411513545335293
1690209799319482952,694072,8,0,0.08742413934954868,0.3160548043737928,0.07226496319942026
